"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-01","2003","01","01","","1.6","","-6.8","","-2.6","","20.6","","0.0","","","M","","M","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-02","2003","01","02","","-4.1","","-9.2","","-6.7","","24.7","","0.0","","","M","","M","4.3","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-03","2003","01","03","","0.4","","-5.4","","-2.5","","20.5","","0.0","","","M","","M","14.6","","9","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-04","2003","01","04","","-0.6","","-3.5","","-2.1","","20.1","","0.0","","","M","","M","1.6","","17","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-05","2003","01","05","","-0.9","","-2.8","","-1.9","","19.9","","0.0","","","M","","M","0.0","","17","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-06","2003","01","06","","-0.3","","-10.6","","-5.5","","23.5","","0.0","","","M","","M","2.0","","16","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-07","2003","01","07","","0.5","","-11.9","","-5.7","","23.7","","0.0","","","M","","M","1.4","","16","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-08","2003","01","08","","5.1","","0.5","","2.8","","15.2","","0.0","","","M","","M","0.0","","16","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-09","2003","01","09","","5.5","","-4.5","","0.5","","17.5","","0.0","","","M","","M","6.0","","11","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-10","2003","01","10","","-2.0","","-9.0","","-5.5","","23.5","","0.0","","","M","","M","0.8","","18","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-11","2003","01","11","","-3.1","","-6.8","","-5.0","","23.0","","0.0","","","M","","M","0.0","","14","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-12","2003","01","12","","-0.1","","-5.4","","-2.8","","20.8","","0.0","","","M","","M","0.6","","12","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-13","2003","01","13","","-1.9","","-7.8","","-4.9","","22.9","","0.0","","","M","","M","0.0","","12","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-14","2003","01","14","","-5.2","","-10.1","E","-7.7","E","25.7","E","0.0","E","","M","","M","","M","11","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-15","2003","01","15","","-3.3","","-7.7","","-5.5","","23.5","","0.0","","","M","","M","","M","12","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-16","2003","01","16","","-4.8","","-7.5","","-6.2","","24.2","","0.0","","","M","","M","0.0","","12","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-17","2003","01","17","","-6.1","","-16.8","","-11.5","","29.5","","0.0","","","M","","M","0.0","","11","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-18","2003","01","18","","-4.0","","-12.9","","-8.5","","26.5","","0.0","","","M","","M","","M","12","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-19","2003","01","19","","-5.0","","-8.8","","-6.9","","24.9","","0.0","","","M","","M","","M","12","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-20","2003","01","20","","-7.3","","-11.3","","-9.3","","27.3","","0.0","","","M","","M","0.0","","12","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-21","2003","01","21","","-9.5","","-13.6","","-11.6","","29.6","","0.0","","","M","","M","0.0","","12","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-22","2003","01","22","","-10.2","","-18.8","","-14.5","","32.5","","0.0","","","M","","M","0.0","","12","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-23","2003","01","23","","-12.6","","-17.5","","-15.1","","33.1","","0.0","","","M","","M","1.3","","12","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-24","2003","01","24","","-5.0","E","-15.4","E","-10.2","E","28.2","E","0.0","E","","M","","M","","M","13","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-25","2003","01","25","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-26","2003","01","26","","-4.0","","-17.9","","-11.0","","29.0","","0.0","","","M","","M","0.8","","14","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2003-01-27","2003","01","27","","-9.7","","-20.4","","-15.1","","33.1","","0.0","","","M","","M","0.0","","12","","","M","","M"
