"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2011-01-01","2011","01","01","","10.7","","1.1","","5.9","","12.1","","0.0","","","M","","M","9.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2011-01-02","2011","01","02","","1.1","","-4.3","","-1.6","","19.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2011-01-03","2011","01","03","","0.9","","-4.7","","-1.9","","19.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2011-01-04","2011","01","04","","1.9","","-1.9","","0.0","","18.0","","0.0","","","M","","M","1.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2011-01-05","2011","01","05","","0.7","","-6.3","","-2.8","","20.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2011-01-06","2011","01","06","","-1.6","","-6.6","","-4.1","","22.1","","0.0","","","M","","M","2.9","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2011-01-07","2011","01","07","","-2.9","","-6.8","","-4.9","","22.9","","0.0","","","M","","M","0.7","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2011-01-08","2011","01","08","","-3.4","","-8.7","","-6.1","","24.1","","0.0","","","M","","M","7.7","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2011-01-09","2011","01","09","","-2.9","","-8.6","","-5.8","","23.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2011-01-10","2011","01","10","","-2.4","","-9.1","","-5.8","","23.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2011-01-11","2011","01","11","","-4.1","","-8.4","","-6.3","","24.3","","0.0","","","M","","M","2.4","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2011-01-12","2011","01","12","","-6.5","","-11.1","","-8.8","","26.8","","0.0","","","M","","M","3.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2011-01-13","2011","01","13","","-5.5","","-11.1","","-8.3","","26.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2011-01-14","2011","01","14","","-0.7","","-7.2","","-4.0","","22.0","","0.0","","","M","","M","0.7","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2011-01-15","2011","01","15","","-0.6","","-5.6","","-3.1","","21.1","","0.0","","","M","","M","5.4","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2011-01-16","2011","01","16","","-4.6","","-14.0","","-9.3","","27.3","","0.0","","","M","","M","0.0","","","","","M","","M"
