"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2004-01-01","2004","01","01","","3.0","","1.3","","2.2","","15.8","","0.0","","","","","","0.0","","1","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-02","2004","01","02","","9.0","","1.0","","5.0","","13.0","","0.0","","","","","","6.0","","1","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-03","2004","01","03","","13.3","","5.8","","9.6","","8.4","","0.0","","","","","","0.6","","1","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-04","2004","01","04","","5.8","","-2.1","","1.9","","16.1","","0.0","","","","","","0.7","","1","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-05","2004","01","05","","-2.1","","-5.0","","-3.6","","21.6","","0.0","","","","","","4.0","","5","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-06","2004","01","06","","-3.6","","-11.9","","-7.8","","25.8","","0.0","","","","","","0.0","","4","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-07","2004","01","07","","-5.8","","-11.4","","-8.6","","26.6","","0.0","","","","","","0.7","","4","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-08","2004","01","08","","-2.7","","-16.0","","-9.4","","27.4","","0.0","","","","","","0.0","","7","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-09","2004","01","09","","-16.0","","-22.1","","-19.1","","37.1","","0.0","","","","","","0.0","","6","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-10","2004","01","10","","-8.8","","-20.7","","-14.8","","32.8","","0.0","","","","","","0.0","","6","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-11","2004","01","11","","-0.3","","-8.8","","-4.6","","22.6","","0.0","","","","","","5.9","","6","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-12","2004","01","12","","0.7","","-1.1","","-0.2","","18.2","","0.0","","","","","","2.6","","11","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-13","2004","01","13","","1.1","","-20.2","","-9.6","","27.6","","0.0","","","","","","1.0","","13","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-14","2004","01","14","","-10.8","","-21.1","","-16.0","","34.0","","0.0","","","","","","5.4","","12","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-15","2004","01","15","","-15.1","","-21.4","","-18.3","","36.3","","0.0","","","","","","0.0","","17","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-16","2004","01","16","","-8.8","","-20.9","","-14.9","","32.9","","0.0","","","","","","0.0","","15","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-17","2004","01","17","","-2.6","","-13.9","","-8.3","","26.3","","0.0","","","","","","1.4","","13","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-18","2004","01","18","","-2.0","","-11.4","","-6.7","","24.7","","0.0","","","","","","0.0","","14","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-19","2004","01","19","","-7.7","","-12.7","","-10.2","","28.2","","0.0","","","","","","0.0","","14","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-20","2004","01","20","","-9.8","","-14.0","","-11.9","","29.9","","0.0","","","","","","0.0","","14","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-21","2004","01","21","","-2.1","","-13.7","","-7.9","","25.9","","0.0","","","","","","0.6","","13","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-22","2004","01","22","","0.1","","-12.8","","-6.4","","24.4","","0.0","","","","","","0.9","","13","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-23","2004","01","23","","-10.4","","-13.9","","-12.2","","30.2","","0.0","","","","","","0.0","","15","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-24","2004","01","24","","-11.7","","-18.1","","-14.9","","32.9","","0.0","","","","","","0.0","","15","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2004-01-25","2004","01","25","","-8.2","","-17.8","","-13.0","","31.0","","0.0","","","","","","0.0","","14","","","","",""
