city,pollutant,mean_pollution,day,month,year,month_name
Toronto,CO,0.6291666666666667,19,4,2002,NA
Toronto,CO,0.5083333333333333,20,4,2002,NA
Toronto,CO,0.5208333333333334,21,4,2002,NA
Toronto,CO,0.5875,22,4,2002,NA
Toronto,CO,0.6,23,4,2002,NA
Toronto,CO,0.4583333333333333,24,4,2002,NA
Toronto,CO,0.55,25,4,2002,NA
Toronto,CO,0.5833333333333334,26,4,2002,NA
Toronto,CO,0.6375,27,4,2002,NA
Toronto,CO,0.5625,28,4,2002,NA
Toronto,CO,0.575,29,4,2002,NA
Toronto,CO,0.5791666666666666,30,4,2002,NA
Toronto,CO,0.5958333333333333,1,5,2002,May
Toronto,CO,0.5791666666666666,2,5,2002,May
Toronto,CO,0.5416666666666666,3,5,2002,May
Toronto,CO,0.6458333333333334,4,5,2002,May
Toronto,CO,0.7458333333333333,5,5,2002,May
Toronto,CO,0.6333333333333333,6,5,2002,May
Toronto,CO,0.5958333333333333,7,5,2002,May
Toronto,CO,0.6083333333333333,8,5,2002,May
Toronto,CO,0.7916666666666666,9,5,2002,May
Toronto,CO,0.575,10,5,2002,May
Toronto,CO,0.6916666666666667,11,5,2002,May
Toronto,CO,0.6291666666666667,12,5,2002,May
Toronto,CO,0.7,13,5,2002,May
Toronto,CO,0.6458333333333333,14,5,2002,May
Toronto,CO,0.5791666666666666,15,5,2002,May
Toronto,CO,0.6749999999999999,16,5,2002,May
Toronto,CO,0.5666666666666667,17,5,2002,May
Toronto,CO,0.5125,18,5,2002,May
Toronto,CO,0.55,19,5,2002,May
Toronto,CO,0.5583333333333333,20,5,2002,May
Toronto,CO,0.5833333333333333,21,5,2002,May
Toronto,CO,0.6083333333333333,22,5,2002,May
Toronto,CO,0.625,23,5,2002,May
Toronto,CO,0.5833333333333333,24,5,2002,May
Toronto,CO,0.6166666666666667,25,5,2002,May
Toronto,CO,0.6333333333333333,26,5,2002,May
Toronto,CO,0.8625,27,5,2002,May
Toronto,CO,0.8625,28,5,2002,May
Toronto,CO,0.9458333333333334,29,5,2002,May
Toronto,CO,0.7458333333333333,30,5,2002,May
Toronto,CO,0.6,31,5,2002,May
Toronto,CO,0.5916666666666667,1,6,2002,NA
Toronto,CO,0.5,2,6,2002,NA
Toronto,CO,0.5625,3,6,2002,NA
Toronto,CO,0.6583333333333333,4,6,2002,NA
Toronto,CO,0.7958333333333334,5,6,2002,NA
Toronto,CO,0.5458333333333333,6,6,2002,NA
Toronto,CO,0.5625,7,6,2002,NA
Toronto,CO,0.7083333333333333,8,6,2002,NA
Toronto,CO,0.5666666666666667,9,6,2002,NA
Toronto,CO,0.5166666666666666,10,6,2002,NA
Toronto,CO,0.6166666666666667,11,6,2002,NA
Toronto,CO,0.575,12,6,2002,NA
Toronto,CO,0.5166666666666666,13,6,2002,NA
Toronto,CO,0.4916666666666667,14,6,2002,NA
Toronto,CO,0.5208333333333334,15,6,2002,NA
Toronto,CO,0.3416666666666667,16,6,2002,NA
Toronto,CO,0.3416666666666667,17,6,2002,NA
Toronto,CO,0.4916666666666667,18,6,2002,NA
Toronto,CO,0.5833333333333334,19,6,2002,NA
Toronto,CO,0.6666666666666666,20,6,2002,NA
Toronto,CO,0.5916666666666667,21,6,2002,NA
Toronto,CO,0.5458333333333333,22,6,2002,NA
Toronto,CO,0.5625,23,6,2002,NA
Toronto,CO,0.5208333333333334,24,6,2002,NA
Toronto,CO,0.5333333333333333,25,6,2002,NA
Toronto,CO,0.35,26,6,2002,NA
Toronto,CO,0.3333333333333333,27,6,2002,NA
Toronto,CO,0.30833333333333335,28,6,2002,NA
Toronto,CO,0.39166666666666666,29,6,2002,NA
Toronto,CO,0.3875,30,6,2002,NA
Toronto,CO,0.3416666666666667,1,7,2002,NA
Toronto,CO,0.2708333333333333,2,7,2002,NA
Toronto,CO,0.17500000000000002,3,7,2002,NA
Toronto,CO,0.10416666666666667,4,7,2002,NA
Toronto,CO,0.029166666666666667,5,7,2002,NA
Toronto,CO,0.16666666666666669,6,7,2002,NA
Toronto,CO,0.07083333333333333,7,7,2002,NA
Toronto,CO,0.12916666666666668,8,7,2002,NA
Toronto,CO,0.09166666666666667,9,7,2002,NA
Toronto,CO,0,10,7,2002,NA
Toronto,CO,0.020833333333333332,11,7,2002,NA
Toronto,CO,0.04166666666666667,12,7,2002,NA
Toronto,CO,0.14583333333333334,13,7,2002,NA
Toronto,CO,0.08333333333333334,14,7,2002,NA
Toronto,CO,0.07083333333333333,15,7,2002,NA
Toronto,CO,0.23333333333333334,16,7,2002,NA
Toronto,CO,0.17083333333333334,17,7,2002,NA
Toronto,CO,0.1875,18,7,2002,NA
Toronto,CO,0.17500000000000002,19,7,2002,NA
Toronto,CO,0.25416666666666665,20,7,2002,NA
Toronto,CO,0.4166666666666667,21,7,2002,NA
Toronto,CO,0.3208333333333333,22,7,2002,NA
Toronto,CO,0.14583333333333334,23,7,2002,NA
Toronto,CO,0.25416666666666665,24,7,2002,NA
Toronto,CO,0.225,25,7,2002,NA
Toronto,CO,0.4125,26,7,2002,NA
Toronto,CO,0.4875,27,7,2002,NA
Toronto,CO,0.1875,28,7,2002,NA
Toronto,CO,0.22083333333333333,29,7,2002,NA
Toronto,CO,0.13333333333333333,30,7,2002,NA
Toronto,CO,0.20833333333333334,31,7,2002,NA
Toronto,CO,0.25833333333333336,1,8,2002,NA
Toronto,CO,0.08333333333333334,2,8,2002,NA
Toronto,CO,0.10833333333333334,3,8,2002,NA
Toronto,CO,0.3,4,8,2002,NA
Toronto,CO,0.004166666666666667,5,8,2002,NA
Toronto,CO,0.11666666666666667,6,8,2002,NA
Toronto,CO,0.3875,7,8,2002,NA
Toronto,CO,0.4791666666666667,8,8,2002,NA
Toronto,CO,0.5416666666666666,9,8,2002,NA
Toronto,CO,0.8041666666666667,10,8,2002,NA
Toronto,CO,0.5916666666666667,11,8,2002,NA
Toronto,CO,0.6416666666666666,12,8,2002,NA
Toronto,CO,0.5125,13,8,2002,NA
Toronto,CO,0.4916666666666667,14,8,2002,NA
Toronto,CO,0.4166666666666667,15,8,2002,NA
Toronto,CO,0.43333333333333335,16,8,2002,NA
Toronto,CO,0.47916666666666663,17,8,2002,NA
Toronto,CO,0.25,18,8,2002,NA
Toronto,CO,0.4916666666666667,19,8,2002,NA
Toronto,CO,0.3416666666666667,20,8,2002,NA
Toronto,CO,0.3958333333333333,21,8,2002,NA
Toronto,CO,0.36666666666666664,22,8,2002,NA
Toronto,CO,0.24166666666666667,23,8,2002,NA
Toronto,CO,0.2625,24,8,2002,NA
Toronto,CO,0.23333333333333334,25,8,2002,NA
Toronto,CO,0.27083333333333337,26,8,2002,NA
Toronto,CO,0.21666666666666667,27,8,2002,NA
Toronto,CO,0.1875,28,8,2002,NA
Toronto,CO,0.425,29,8,2002,NA
Toronto,CO,0.45,30,8,2002,NA
Toronto,CO,0.2625,31,8,2002,NA
Toronto,CO,0.22083333333333333,1,9,2002,NA
Toronto,CO,0.21666666666666667,2,9,2002,NA
Toronto,CO,0.19166666666666668,3,9,2002,NA
Toronto,CO,0.07083333333333333,4,9,2002,NA
Toronto,CO,0.07083333333333333,5,9,2002,NA
Toronto,CO,0.1125,6,9,2002,NA
Toronto,CO,0.3875,7,9,2002,NA
Toronto,CO,0.48333333333333334,8,9,2002,NA
Toronto,CO,0.4125,9,9,2002,NA
Toronto,CO,0.25,10,9,2002,NA
Toronto,CO,0.1125,11,9,2002,NA
Toronto,CO,0.3,12,9,2002,NA
Toronto,CO,0.31666666666666665,13,9,2002,NA
Toronto,CO,0.475,14,9,2002,NA
Toronto,CO,0.35,15,9,2002,NA
Toronto,CO,0.3625,16,9,2002,NA
Toronto,CO,0.475,17,9,2002,NA
Toronto,CO,0.575,18,9,2002,NA
Toronto,CO,0.5208333333333334,19,9,2002,NA
Toronto,CO,0.4166666666666667,20,9,2002,NA
Toronto,CO,0.30833333333333335,21,9,2002,NA
Toronto,CO,0.3541666666666667,22,9,2002,NA
Toronto,CO,0.2708333333333333,23,9,2002,NA
Toronto,CO,0.3458333333333333,24,9,2002,NA
Toronto,CO,0.37916666666666665,25,9,2002,NA
Toronto,CO,0.55,26,9,2002,NA
Toronto,CO,0.3416666666666667,27,9,2002,NA
Toronto,CO,0.2791666666666667,28,9,2002,NA
Toronto,CO,0.6041666666666666,29,9,2002,NA
Toronto,CO,0.3375,30,9,2002,NA
Toronto,CO,0.3208333333333333,1,10,2002,NA
Toronto,CO,0.3208333333333333,2,10,2002,NA
Toronto,CO,0.25,3,10,2002,NA
Toronto,CO,0.31666666666666665,4,10,2002,NA
Toronto,CO,0.22916666666666669,5,10,2002,NA
Toronto,CO,0.3458333333333333,6,10,2002,NA
Toronto,CO,0.17916666666666667,7,10,2002,NA
