Pollutant,January,February,March,April,May,June,July,August,September,October,November,December,Average,StdDeviation,Year
PM2.5,11,14,10,7,9,8,8,9,9,7,8,8,9,7,2014
NO,7,10,5,4,3,3,2,2,4,5,4,5,4,10,2014
NO2,17,19,15,15,12,12,9,9,13,13,14,14,13,10,2014
NOX,23,29,20,18,15,15,11,11,17,18,18,19,18,18,2014
O3,20,23,28,33,33,29,30,28,23,17,20,19,25,13,2014
PM2.5,10,13,10,8,9,9,8,9,9,8,9,9,9,7,2014
CO,0.27,0.33,0.27,0.25,0.24,0.23,0.26,0.27,0.27,0.23,0.23,0.25,0.26,0.11,2014
NO,13,22,7,6,7,7,8,6,13,10,8,9,10,18,2014
NO2,22,28,19,16,16,14,13,12,16,16,18,17,17,11,2014
NOX,34,49,26,22,23,21,21,18,28,25,26,27,27,27,2014
O3,16,18,26,30,27,24,24,23,19,14,16,15,21,13,2014
PM2.5,11,14,10,8,9,8,8,9,9,7,8,7,9,7,2014
SO2,1.4,1,1,0.5,0.6,0.6,0.6,0.4,0.7,0.7,0.9,0.9,0.8,0.9,2014
NO,4,6,3,2,1,2,2,1,3,3,2,3,3,6,2014
NO2,17,21,15,13,12,12,11,10,13,13,15,15,14,9,2014
NOX,21,26,18,15,14,14,12,11,16,16,17,18,17,13,2014
O3,21,25,30,34,33,30,30,28,25,17,19,17,26,12,2014
PM2.5,10,14,11,8,8,8,8,8,8,7,8,8,9,6,2014
NO,13,22,9,7,6,5,6,5,9,9,7,8,9,20,2014
NO2,20,27,19,19,16,15,13,12,16,15,15,16,17,12,2014
NOX,33,49,28,26,22,21,19,17,25,24,22,24,26,29,2014
O3,19,22,28,29,28,24,24,23,20,13,17,15,22,13,2014
PM2.5,11,16,11,8,9,9,9,9,10,8,9,8,10,7,2014
NO,7,9,7,4,3,2,3,5,5,7,11,7,6,11,2015
NO2,18,20,18,13,12,10,12,11,13,11,17,14,14,10,2015
NOX,25,29,25,16,15,12,15,16,18,18,28,20,20,19,2015
O3,19,20,26,29,33,26,29,23,27,18,17,15,24,13,2015
PM2.5,10,12,12,6,9,6,9,7,9,5,8,8,8,7,2015
NO,4,5,4,3,2,4,2,2,3,5,8,6,4,8,2015
NO2,15,17,16,11,12,11,10,9,13,11,17,15,13,9,2015
NOX,19,22,20,14,14,14,12,11,16,16,25,20,17,16,2015
O3,23,24,29,32,37,29,34,27,26,16,17,15,26,14,2015
PM2.5,10,12,12,7,9,7,9,8,11,6,10,11,9,7,2015
CO,0.26,0.29,0.27,0.24,0.24,0.23,0.25,0.22,0.26,0.21,0.28,0.24,0.25,0.1,2015
NO,13,16,9,7,6,6,7,7,9,10,15,7,9,17,2015
NO2,21,24,20,15,15,14,14,12,16,14,19,16,17,10,2015
NOX,34,40,29,22,21,20,20,19,25,24,34,23,26,24,2015
O3,18,19,24,26,30,24,27,21,23,15,14,12,21,14,2015
PM2.5,10,12,9,6,9,7,9,7,11,6,9,8,9,7,2015
SO2,1.4,1.8,1.3,1.1,1.3,0.6,0.8,0.6,0.9,0.7,0.9,0.8,1,1,2015
NO,4,5,3,2,2,2,2,2,2,3,5,3,3,5,2015
NO2,18,19,16,12,13,11,11,10,12,12,16,13,13,8,2015
NOX,22,24,18,14,15,12,13,11,14,15,20,16,16,12,2015
O3,20,21,29,31,35,29,32,27,30,19,18,16,26,13,2015
PM2.5,9,11,11,7,9,6,9,7,10,5,9,8,8,6,2015
NO,10,14,8,6,5,4,5,6,8,9,15,10,8,18,2015
NO2,19,22,20,16,16,14,14,13,18,14,19,16,17,11,2015
NOX,28,36,28,22,21,18,20,19,25,23,34,25,25,26,2015
O3,18,19,25,26,29,24,27,21,25,17,16,14,22,13,2015
PM2.5,10,13,12,7,10,7,9,7,11,6,10,10,9,7,2015
NO,8,4,8,5,3,3,3,3,4,6,14,5,5,13,2016
NO2,17,11,16,13,12,10,9,9,10,9,16,15,12,9,2016
NOX,25,15,23,17,16,13,11,12,14,15,30,20,18,20,2016
O3,19,27,25,31,33,32,30,30,24,20,16,19,25,13,2016
PM2.5,9,7,8,6,8,6,7,6,5,5,9,8,7,5,2016
NO,6,3,6,3,2,2,2,2,3,4,8,2,3,8,2016
NO2,16,12,17,12,12,8,8,9,11,10,16,14,12,9,2016
NOX,22,15,22,15,14,10,10,10,13,14,24,16,15,15,2016
O3,20,26,24,31,34,34,31,31,24,20,17,20,26,13,2016
PM2.5,10,8,9,6,8,6,7,6,6,5,8,8,7,5,2016
CO,0.27,0.24,0.29,0.25,0.26,0.21,0.21,0.22,0.24,0.23,0.34,0.23,0.25,0.11,2016
NO,11,6,9,7,7,6,4,5,8,9,19,6,8,18,2016
NO2,19,16,20,16,17,13,11,12,14,13,20,18,16,10,2016
NOX,30,22,29,23,24,18,15,17,23,22,39,24,24,25,2016
O3,17,23,21,28,28,28,26,27,20,17,13,16,22,14,2016
PM2.5,9,6,8,6,8,6,6,6,6,5,9,8,7,5,2016
SO2,0.9,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.1,0.2,0.1,0.6,0.7,2016
NO,3,2,3,2,2,2,2,2,2,2,7,3,3,6,2016
NO2,17,13,16,13,14,11,11,11,11,11,18,15,13,8,2016
NOX,20,15,19,15,17,14,13,13,13,13,24,17,16,12,2016
O3,20,26,25,31,33,31,29,31,25,21,17,19,26,12,2016
PM2.5,9,7,8,6,8,7,7,6,5,5,8,7,7,5,2016
NO,12,6,10,7,5,5,3,4,6,6,19,6,7,18,2016
NO2,18,15,21,17,16,13,11,11,11,10,19,14,15,11,2016
NOX,30,20,31,23,21,18,14,15,17,17,38,21,22,26,2016
O3,19,25,22,29,30,28,26,27,21,18,13,18,23,13,2016
PM2.5,10,8,10,7,9,7,7,7,7,6,10,9,8,5,2016
CO,0.34,0.31,0.36,0.32,0.33,0.29,0.29,0.3,0.31,0.3,0.38,0.29,0.32,0.15,2016
NO,29,25,25,23,24,22,17,18,22,26,40,21,24,31,2016
NO2,23,20,23,21,21,17,15,14,15,15,23,21,19,11,2016
NOX,52,45,48,44,44,39,32,32,37,42,63,42,43,39,2016
O3,15,20,19,23,22,25,24,25,19,16,11,13,19,14,2016
PM2.5,11,9,11,8,10,8,9,8,8,7,11,10,9,6,2016
SO2,0.7,0.5,0.5,0.6,0.6,0.4,0.4,0.3,0.4,0.3,0.5,0.2,0.5,0.7,2016
NO,6,5,4,3,3,3,3,3,6,5,5,7,4,8,2017
NO2,14,14,11,9,9,11,9,9,13,11,12,15,12,8,2017
NOX,21,18,14,12,13,14,12,12,19,16,17,22,16,15,2017
O3,19,24,31,31,29,29,25,25,22,21,18,18,24,12,2017
PM2.5,8,8,7,6,6,7,8,8,9,7,6,8,7,5,2017
CO,0.25,0.25,0.23,0.23,0.22,0.21,0.22,0.24,0.31,0.26,0.25,0.29,0.25,0.1,2017
NO,8,7,5,4,6,6,5,6,13,11,9,13,8,15,2017
NO2,18,17,14,12,13,13,12,12,16,16,17,22,15,9,2017
NOX,25,24,19,16,18,18,17,18,29,26,25,35,23,21,2017
O3,16,21,27,29,26,28,24,23,21,19,16,15,22,13,2017
PM2.5,8,8,6,5,6,7,8,8,10,7,7,9,7,5,2017
SO2,0.2,0.4,0.4,0.6,0.6,0.4,0.4,0.5,0.6,0.9,0.7,0.7,0.5,0.6,2017
NO,3,3,3,2,2,2,2,2,3,3,3,5,3,5,2017
NO2,16,15,14,11,11,11,11,11,14,13,13,17,13,8,2017
NOX,19,18,17,13,13,13,13,13,17,15,16,22,16,11,2017
O3,19,25,29,32,30,31,28,28,25,23,19,18,26,12,2017
PM2.5,7,7,6,5,6,6,6,9,11,8,7,9,7,5,2017
NO,8,7,6,4,5,5,4,4,10,8,7,13,7,14,2017
NO2,16,16,15,15,15,14,13,13,17,16,16,20,16,10,2017
NOX,24,23,21,18,19,19,17,17,27,24,23,33,22,22,2017
O3,17,22,26,27,26,28,25,24,21,19,16,17,22,13,2017
PM2.5,9,9,7,6,7,7,9,9,11,7,7,10,8,6,2017
CO,0.33,0.33,0.32,0.3,0.29,0.29,0.33,0.34,0.42,0.34,0.31,0.37,0.33,0.15,2017
NO,24,22,21,14,17,18,18,20,30,24,25,31,22,27,2017
NO2,22,23,20,17,17,17,16,16,18,17,19,24,19,10,2017
NOX,46,45,41,31,33,35,34,36,48,41,44,55,41,35,2017
O3,14,19,26,27,24,25,21,20,18,16,13,12,20,13,2017
PM2.5,11,10,9,6,8,9,9,10,12,9,9,12,9,6,2017
SO2,0.3,0.3,0.3,0.5,0.3,0.4,0.3,0.3,0.5,0.5,0.3,0.2,0.3,0.5,2017
CO,0.24,0.24,0.23,0.2,0.19,0.19,0.19,0.22,0.27,0.23,0.22,0.23,0.22,0.08,2017
NO,4,4,2,1,2,2,2,2,4,4,4,6,3,8,2017
NO2,14,14,10,8,8,8,7,8,11,11,13,15,11,8,2017
NOX,18,17,12,9,10,10,9,10,14,15,17,22,14,14,2017
O3,18,24,30,31,29,30,25,25,22,20,15,18,24,13,2017
PM2.5,8,8,7,5,6,6,8,8,9,7,7,8,7,6,2017
SO2,0.2,0.2,0.2,0.3,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.1,0.2,0.5,2017
NO,5,5,2,3,2,2,1,1,2,4,4,6,3,7,2018
NO2,16,16,9,11,9,8,8,8,7,9,12,14,11,8,2018
NOX,21,21,11,14,11,9,9,9,9,13,17,20,14,13,2018
O3,21,23,31,32,34,29,33,29,22,17,16,16,25,13,2018
PM2.5,10,10,5,6,9,6,7,9,5,5,6,10,7,5,2018
CO,0.26,0.27,0.23,0.24,0.25,0.2,0.21,0.25,0.22,0.22,0.23,0.27,0.24,0.09,2018
NO,8,9,5,6,5,4,4,4,6,9,8,13,7,13,2018
NO2,20,21,14,16,14,11,11,11,10,13,16,18,14,9,2018
NOX,28,30,19,21,20,15,14,15,15,22,25,31,21,20,2018
