File generated on // Fichier créé sur ,23/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant, CO // CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppm // ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available. // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant,NAPS ID // Identifiant SNPA,City // Ville,P/T // P/T,Latitude // Latitude,Longitude // Longitude,Date // Date,H01 // H01,H02 // H02,H03 // H03,H04 // H04,H05 // H05,H06 // H06,H07 // H07,H08 // H08,H09 // H09,H10 // H10,H11 // H11,H12 // H12,H13 // H13,H14 // H14,H15 // H15,H16 // H16,H17 // H17,H18 // H18,H19 // H19,H20 // H20,H21 // H21,H22 // H22,H23 // H23,H24 // H24
CO,10102,St Johns,NL,47.56038,-52.7115,20160122,0.15,0.13,0.13,0.14,0.13,0.11,0.11,0.15,0.15,0.13,0.13,0.11,0.11,0.11,0.11,0.12,0.15,0.16,0.13,0.12,0.11,0.12,0.12,0.11
CO,10102,St Johns,NL,47.56038,-52.7115,20160123,0.14,0.12,0.1,0.11,0.1,0.09,0.09,0.09,0.11,0.11,0.12,0.14,0.17,0.15,0.15,0.17,0.24,0.18,0.22,0.18,0.18,0.18,0.18,0.27
CO,10102,St Johns,NL,47.56038,-52.7115,20160124,0.25,0.22,0.26,0.2,0.17,0.18,0.19,0.2,0.2,0.12,0.14,0.16,0.13,0.13,0.14,0.17,0.15,0.23,0.17,0.18,0.16,0.21,0.17,0.15
CO,10102,St Johns,NL,47.56038,-52.7115,20160125,0.25,0.13,0.16,0.14,0.12,0.12,0.13,0.17,0.15,0.13,0.12,0.12,0.14,0.14,0.13,0.15,0.15,0.23,0.15,0.17,0.17,0.24,0.24,0.15
CO,10102,St Johns,NL,47.56038,-52.7115,20160126,0.11,0.12,0.1,0.1,0.1,0.1,0.12,0.17,0.23,0.17,0.13,0.11,0.12,0.1,0.11,0.11,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11
CO,10102,St Johns,NL,47.56038,-52.7115,20160127,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.12,0.12,0.12,0.13,0.15,0.15,0.14,0.15,0.15,0.16,0.16,0.17
CO,10102,St Johns,NL,47.56038,-52.7115,20160128,0.17,0.17,0.15,0.15,0.14,0.14,0.15,0.16,0.14,0.12,0.11,0.13,0.14,0.14,0.16,0.16,0.19,0.2,0.2,0.23,0.26,0.23,0.3,0.26
CO,10102,St Johns,NL,47.56038,-52.7115,20160129,0.25,0.23,0.25,0.22,0.2,0.13,0.12,0.14,0.18,0.16,0.15,0.13,0.14,0.14,0.19,0.17,0.17,0.16,0.21,0.14,0.14,0.16,0.15,0.18
CO,10102,St Johns,NL,47.56038,-52.7115,20160130,0.79,0.19,0.19,0.14,0.12,0.11,0.11,0.11,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.15,0.14,0.14,0.13,0.13,0.17,0.22
CO,10102,St Johns,NL,47.56038,-52.7115,20160131,0.15,0.13,0.16,0.2,0.14,0.12,0.12,0.12,0.12,0.14,0.14,0.14,0.14,0.15,0.15,0.16,0.18,0.16,0.16,0.15,0.14,0.13,0.13,0.12
CO,10102,St Johns,NL,47.56038,-52.7115,20160201,0.12,0.12,0.12,0.12,0.12,0.13,0.18,0.22,0.3,0.22,0.16,0.15,0.13,0.14,0.15,0.2,0.2,0.15,0.13,0.13,0.12,0.11,0.11,0.1
CO,10102,St Johns,NL,47.56038,-52.7115,20160202,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.14,0.14,0.13,0.13,0.13,0.15,0.16,0.16,0.17,0.22,0.2,0.17,0.17,0.19,0.17,0.15,0.16
CO,10102,St Johns,NL,47.56038,-52.7115,20160203,0.18,0.15,0.15,0.13,0.13,0.13,0.13,0.16,0.16,0.15,0.14,0.13,0.14,0.15,0.16,0.18,0.18,0.24,0.18,0.18,0.16,0.16,0.16,0.15
CO,10102,St Johns,NL,47.56038,-52.7115,20160204,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.15,0.16,0.14,0.14,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1
CO,10102,St Johns,NL,47.56038,-52.7115,20160205,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.15,0.27,0.25,0.15,0.15,0.15,0.17,0.19,0.25,0.22,0.31,0.2,0.15,0.2,0.17,0.2,0.28
CO,10102,St Johns,NL,47.56038,-52.7115,20160206,0.26,0.28,0.1,0.08,0.07,0.07,0.07,0.07,0.07,0.08,0.1,0.12,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.16,0.15,0.15,0.18,0.14
CO,10102,St Johns,NL,47.56038,-52.7115,20160207,0.15,0.15,0.14,0.15,0.13,0.13,0.12,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12
CO,10102,St Johns,NL,47.56038,-52.7115,20160208,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.12,0.13,0.14,0.15,0.15,0.16,0.18,0.16,0.17,0.34,0.2,0.15,0.16,0.14,0.18,0.18,0.19
