File generated on // Fichier créé sur, 2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppm // ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant ,NAPS ID//Identifiant SNPA,City//Ville,P/T//P/T,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
CO,10102,St Johns,NL,47.56038,-52.71147,20170122,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.29,0.4,0.19,0.18,0.18,0.17,0.18,0.2,0.22,0.14,0.32,0.32,0.33,0.27,0.19,0.27
CO,10102,St Johns,NL,47.56038,-52.71147,20170123,0.19,0.15,0.17,0.14,0.14,0.15,0.39,0.17,0.18,0.17,0.17,0.14,0.16,0.2,0.22,0.15,0.22,0.17,0.36,0.26,0.23,0.21,0.25,0.2
CO,10102,St Johns,NL,47.56038,-52.71147,20170124,0.17,0.16,0.17,0.16,0.16,0.16,0.19,0.24,0.33,0.25,0.2,0.19,0.17,0.17,0.17,0.2,0.26,0.24,0.66,0.5,0.42,0.44,0.47,0.43
CO,10102,St Johns,NL,47.56038,-52.71147,20170125,0.45,0.36,0.35,0.32,0.29,0.31,0.33,0.51,0.87,0.9,0.22,0.21,0.3,0.2,0.2,0.2,0.2,0.51,0.16,0.15,0.13,0.13,0.15,0.15
CO,10102,St Johns,NL,47.56038,-52.71147,20170126,0.13,0.17,0.17,0.12,0.12,0.1,0.11,0.12,0.16,0.13,0.14,0.15,0.12,0.17,0.13,0.13,0.16,0.12,0.14,0.14,0.14,0.14,0.15,0.14
CO,10102,St Johns,NL,47.56038,-52.71147,20170127,0.13,0.14,0.13,0.12,0.12,0.11,0.11,0.11,0.13,0.12,0.12,0.13,0.14,0.15,0.15,0.15,0.16,0.11,0.13,0.13,0.13,0.14,0.17,0.14
CO,10102,St Johns,NL,47.56038,-52.71147,20170128,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.13,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.17,0.12,0.14,0.14,0.15,0.14,0.14,0.14
CO,10102,St Johns,NL,47.56038,-52.71147,20170129,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12
CO,10102,St Johns,NL,47.56038,-52.71147,20170130,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.14,0.25,0.17,0.14,0.13,0.14,0.15,0.14,0.15,0.21,0.14,0.41,0.26,0.21,0.2,0.19,0.17
CO,10102,St Johns,NL,47.56038,-52.71147,20170131,0.16,0.16,0.19,0.23,0.19,0.19,0.2,0.34,0.45,0.28,0.21,0.18,0.17,0.16,0.16,0.25,0.2,0.34,0.21,0.17,0.14,0.13,0.15,0.15
CO,10102,St Johns,NL,47.56038,-52.71147,20170201,0.13,0.14,0.12,0.11,0.12,0.12,0.13,0.16,0.21,0.19,0.14,0.12,0.15,0.16,0.13,0.12,0.16,0.16,0.17,0.18,0.22,0.21,0.25,0.25
CO,10102,St Johns,NL,47.56038,-52.71147,20170202,0.27,0.24,0.18,0.24,0.24,0.19,0.23,0.35,0.43,0.28,0.15,0.17,0.2,0.17,0.22,0.27,0.27,0.35,0.25,0.31,0.26,0.35,0.37,0.33
CO,10102,St Johns,NL,47.56038,-52.71147,20170203,0.33,0.3,0.26,0.23,0.19,0.16,0.19,0.24,0.33,0.23,0.14,0.13,0.14,0.15,0.14,0.16,0.17,0.24,0.16,0.15,0.15,0.15,0.14,0.14
CO,10102,St Johns,NL,47.56038,-52.71147,20170204,0.14,0.13,0.28,0.14,0.12,0.12,0.13,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.16,0.15,0.24,0.17,0.15,0.14,0.14,0.15
CO,10102,St Johns,NL,47.56038,-52.71147,20170205,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.14,0.15,0.15,0.14,0.13,0.14,0.13,0.12,0.14,0.15,0.16,0.18,0.17
CO,10102,St Johns,NL,47.56038,-52.71147,20170206,0.17,0.16,0.16,0.17,0.17,0.12,0.12,0.13,0.12,0.11,0.12,0.13,0.16,0.17,0.2,0.18,0.18,0.13,0.18,0.17,0.18,0.17,0.18,0.18
CO,10102,St Johns,NL,47.56038,-52.71147,20170207,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.17,0.18,0.18,0.17,0.14,0.14,0.14,0.13,0.13,0.15,0.17,0.12,0.13,0.13,0.13,0.13,0.13
CO,10102,St Johns,NL,47.56038,-52.71147,20170208,0.15,0.13,0.13,0.14,0.13,0.12,0.13,0.2,0.37,0.22,0.16,0.18,0.15,0.15,0.14,0.13,0.14,0.2,0.11,0.11,0.11,0.12,0.13,0.13
CO,10102,St Johns,NL,47.56038,-52.71147,20170209,0.12,0.11,0.1,0.09,0.1,0.1,0.13,0.31,0.22,0.32,0.27,0.18,0.22,0.22,0.19,0.22,0.27,0.31,0.22,0.27,0.2,0.24,0.17,0.19
CO,10102,St Johns,NL,47.56038,-52.71147,20170210,0.17,0.13,0.13,0.12,0.11,0.1,0.08,0.08,0.09,0.09,0.1,0.12,0.13,0.12,0.13,0.13,0.14,0.08,0.14,0.14,0.14,0.14,0.14,0.13
CO,10102,St Johns,NL,47.56038,-52.71147,20170211,0.14,0.14,0.14,0.15,0.14,0.13,0.13,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.17,0.16,0.16,0.14,0.18,0.17,0.16,0.18,0.15,0.17
CO,10102,St Johns,NL,47.56038,-52.71147,20170212,0.16,0.15,0.37,0.4,0.2,0.15,0.13,0.13,0.14,0.15,0.15,0.16,0.17,0.2,0.22,0.22,0.19,0.13,0.29,0.22,0.24,0.23,0.2,0.22
CO,10102,St Johns,NL,47.56038,-52.71147,20170213,0.24,0.17,0.17,0.14,0.12,0.12,0.13,0.15,0.2,0.18,0.19,0.18,0.22,0.2,0.2,0.19,0.26,0.15,0.18,0.18,0.18,0.16,0.2,0.17
CO,10102,St Johns,NL,47.56038,-52.71147,20170214,0.14,0.17,0.17,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.15,0.22,0.14,0.15,0.13,0.18,0.17,0.16,0.17,0.28,0.15
CO,10102,St Johns,NL,47.56038,-52.71147,20170215,0.15,0.15,0.15,0.16,0.13,0.13,0.13,0.14,1.14,0.19,0.14,0.16,0.15,0.18,0.15,0.15,0.15,0.14,0.15,0.15,0.17,0.14,0.16,0.14
CO,10102,St Johns,NL,47.56038,-52.71147,20170216,0.14,0.14,0.14,0.13,0.14,0.13,0.15,0.18,0.48,0.17,0.15,0.16,0.2,0.17,0.16,0.22,0.44,0.18,0.38,0.32,0.23,0.24,0.19,0.19
CO,10102,St Johns,NL,47.56038,-52.71147,20170217,0.2,0.3,0.27,0.17,0.14,0.12,0.12,0.15,0.16,0.15,0.14,0.16,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.16,0.14,0.15,0.15
CO,10102,St Johns,NL,47.56038,-52.71147,20170218,0.16,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.14,0.16,0.14
CO,10102,St Johns,NL,47.56038,-52.71147,20170219,0.14,0.13,0.15,0.15,0.14,0.12,0.12,0.13,0.13,0.13,0.14,0.13,0.14,0.17,0.19,0.17,0.16,0.13,0.17,0.15,0.13,0.13,0.13,0.13
