File generated on // Fichier créé sur, 2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppm // ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant ,NAPS ID//Identifiant SNPA,City//Ville,P/T//P/T,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
CO,50204,Gatineau,QC,45.435987,-75.723429,20170204,0.18,-999,0.18,0.17,0.16,0.17,0.19,0.23,0.19,0.21,0.24,0.2,0.17,0.16,0.16,0.17,0.18,0.23,0.19,0.18,0.16,0.17,0.17,0.18
CO,50204,Gatineau,QC,45.435987,-75.723429,20170205,0.17,-999,0.22,0.21,0.19,0.18,0.2,0.22,0.23,0.25,0.23,0.22,0.21,0.21,0.23,0.23,0.2,0.22,0.2,0.18,0.18,0.17,0.15,0.15
CO,50204,Gatineau,QC,45.435987,-75.723429,20170206,0.15,-999,0.14,0.17,0.18,0.18,0.19,0.22,0.26,0.28,0.18,0.17,0.17,0.17,0.18,0.24,0.27,0.22,0.27,0.27,0.21,0.2,0.21,0.21
CO,50204,Gatineau,QC,45.435987,-75.723429,20170207,0.19,-999,0.18,0.18,0.19,0.2,0.18,0.21,0.22,0.2,0.18,0.17,0.18,0.18,0.17,0.21,0.21,0.21,0.19,0.19,0.2,0.21,0.19,0.19
CO,50204,Gatineau,QC,45.435987,-75.723429,20170208,0.19,-999,0.2,0.22,0.27,0.28,0.36,0.21,0.2,0.2,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.21,0.18,0.18,0.17,0.16,0.16,0.15
CO,50204,Gatineau,QC,45.435987,-75.723429,20170209,0.15,-999,0.16,0.16,0.15,0.16,0.19,0.22,0.23,0.18,0.16,0.15,0.16,0.17,0.16,0.18,0.19,0.22,0.2,0.22,0.29,0.3,0.21,0.19
CO,50204,Gatineau,QC,45.435987,-75.723429,20170210,0.18,-999,0.19,0.18,0.15,0.16,0.18,0.18,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.17,0.23,0.18,0.18,0.18,0.19,0.19,0.18,0.18
CO,50204,Gatineau,QC,45.435987,-75.723429,20170211,0.18,-999,0.17,0.18,0.2,0.21,0.19,0.2,0.19,0.21,0.24,0.23,0.22,0.23,0.22,0.24,0.26,0.2,0.23,0.23,0.23,0.25,0.22,0.2
CO,50204,Gatineau,QC,45.435987,-75.723429,20170212,0.21,-999,0.21,0.21,0.22,0.22,0.22,0.23,0.21,0.21,0.22,0.22,0.22,0.22,0.23,0.24,0.26,0.23,0.32,0.3,0.3,0.34,0.27,0.23
CO,50204,Gatineau,QC,45.435987,-75.723429,20170213,0.25,-999,0.2,0.19,0.19,0.2,0.2,0.22,0.23,0.22,0.19,0.19,0.18,0.19,0.21,0.22,0.22,0.22,0.23,0.27,0.22,0.21,0.24,0.24
CO,50204,Gatineau,QC,45.435987,-75.723429,20170214,0.25,-999,0.27,0.34,0.3,0.35,0.41,0.53,0.64,0.47,0.35,0.31,0.31,0.28,0.26,0.3,0.29,0.53,0.23,0.22,0.21,0.23,0.24,0.25
CO,50204,Gatineau,QC,45.435987,-75.723429,20170215,0.24,-999,0.23,0.23,0.24,0.26,0.26,0.29,0.29,0.28,0.24,0.25,0.24,0.25,0.28,0.34,0.41,0.29,0.38,0.31,0.23,0.22,0.21,0.2
CO,50204,Gatineau,QC,45.435987,-75.723429,20170216,0.17,-999,0.17,0.17,0.17,0.18,0.18,0.19,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.2,0.18,0.19,0.18,0.18,0.18,0.17,0.18,0.17
CO,50204,Gatineau,QC,45.435987,-75.723429,20170217,0.15,-999,0.16,0.16,0.16,0.18,0.18,0.2,0.18,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.19,0.2,0.26,0.32,0.48,0.58,0.38,0.21
CO,50204,Gatineau,QC,45.435987,-75.723429,20170218,0.2,-999,0.2,0.21,0.21,0.23,0.24,0.29,0.26,0.24,0.28,0.29,0.28,0.3,0.27,0.27,0.35,0.29,0.3,0.34,0.31,0.27,0.22,0.21
CO,50204,Gatineau,QC,45.435987,-75.723429,20170219,0.25,-999,0.23,0.23,0.19,0.18,0.17,0.18,0.17,0.16,0.17,0.16,0.16,0.16,0.17,0.18,0.18,0.18,0.19,0.19,0.18,0.18,0.17,0.17
CO,50204,Gatineau,QC,45.435987,-75.723429,20170220,0.16,-999,0.16,0.17,0.15,0.15,0.17,0.18,0.16,0.16,0.14,0.14,0.15,0.16,0.16,0.17,0.18,0.18,0.23,0.23,0.34,0.5,0.34,0.35
CO,50204,Gatineau,QC,45.435987,-75.723429,20170221,0.3,-999,0.32,0.33,0.29,0.26,0.25,0.28,0.29,0.25,0.23,0.22,0.21,0.24,0.28,0.37,0.38,0.28,0.4,0.39,0.33,0.32,0.31,0.32
CO,50204,Gatineau,QC,45.435987,-75.723429,20170222,0.33,-999,0.33,0.32,0.31,0.47,0.4,0.43,0.39,0.45,0.49,0.43,0.37,0.36,0.31,0.29,0.33,0.43,0.4,0.46,0.32,0.32,0.29,0.3
CO,50204,Gatineau,QC,45.435987,-75.723429,20170223,0.3,-999,0.27,0.27,0.28,0.32,0.4,0.49,0.48,0.41,0.53,0.4,0.24,0.24,0.22,0.24,0.22,0.49,0.22,0.23,0.24,0.23,0.19,0.2
CO,50204,Gatineau,QC,45.435987,-75.723429,20170224,0.2,-999,0.17,0.18,0.18,0.19,0.23,0.28,0.22,0.18,0.18,0.19,0.21,0.21,0.23,0.26,0.23,0.28,0.21,0.18,0.19,0.2,0.17,0.16
CO,50204,Gatineau,QC,45.435987,-75.723429,20170225,0.16,-999,0.17,0.17,0.16,0.16,0.18,0.19,0.2,0.2,0.19,0.2,0.24,0.26,0.33,0.33,0.25,0.19,0.69,0.24,0.19,0.16,0.16,0.16
CO,50204,Gatineau,QC,45.435987,-75.723429,20170226,0.14,-999,0.14,0.14,0.14,0.14,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.14,0.14
CO,50204,Gatineau,QC,45.435987,-75.723429,20170227,0.16,-999,0.15,0.15,0.16,0.17,0.18,0.2,0.18,0.16,0.15,0.15,0.16,0.17,0.16,0.17,0.17,0.2,0.24,0.33,0.38,0.39,0.38,0.37
CO,50204,Gatineau,QC,45.435987,-75.723429,20170228,0.36,-999,0.27,0.3,0.31,0.33,0.39,0.4,0.31,0.23,0.23,0.23,0.21,0.21,0.2,0.24,0.29,0.4,0.32,0.31,0.29,0.28,0.29,0.28
CO,50204,Gatineau,QC,45.435987,-75.723429,20170301,0.28,-999,0.26,0.26,0.29,0.27,0.28,0.29,0.26,0.28,0.31,0.37,0.36,0.34,0.34,0.35,0.37,0.29,0.26,0.25,0.22,0.21,0.22,0.17
CO,50204,Gatineau,QC,45.435987,-75.723429,20170302,0.16,-999,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.15,0.15,0.15,0.16,0.17,0.14,0.16,0.16,0.15,0.14,0.15,0.15
CO,50204,Gatineau,QC,45.435987,-75.723429,20170303,0.14,-999,0.16,0.17,0.15,0.16,0.18,0.25,0.18,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.25,0.18,0.18,0.18,0.2,0.19,0.19
CO,50204,Gatineau,QC,45.435987,-75.723429,20170304,0.19,-999,0.19,0.15,0.14,0.14,0.15,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.17,0.18,0.2,0.21,0.18,0.18,0.19
CO,50204,Gatineau,QC,45.435987,-75.723429,20170305,0.17,-999,0.18,0.19,0.17,0.18,0.21,0.2,0.19,0.19,0.17,0.17,0.18,0.18,0.17,0.17,0.18,0.2,0.29,0.51,0.45,0.46,0.43,0.45
CO,50204,Gatineau,QC,45.435987,-75.723429,20170306,0.41,-999,0.29,0.26,0.24,0.23,0.23,0.23,-999,-999,-999,0.22,0.23,0.25,0.28,0.28,0.29,0.23,0.25,0.24,0.23,0.24,0.24,0.24
CO,50204,Gatineau,QC,45.435987,-75.723429,20170307,0.21,-999,0.23,0.25,0.25,0.27,0.28,0.29,0.31,0.31,0.29,0.3,0.33,0.32,0.34,0.39,0.39,0.29,0.37,0.37,0.43,0.57,0.49,0.52
CO,50204,Gatineau,QC,45.435987,-75.723429,20170308,0.23,-999,0.17,0.17,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.17,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.17,0.16
CO,50204,Gatineau,QC,45.435987,-75.723429,20170309,0.16,-999,0.16,0.16,0.15,0.15,0.14,0.16,0.17,0.16,0.16,0.17,0.15,0.15,0.16,0.16,0.16,0.16,0.18,0.19,0.23,0.31,0.35,0.35
CO,50204,Gatineau,QC,45.435987,-75.723429,20170310,0.32,-999,0.16,0.17,0.18,0.19,0.18,0.17,0.17,0.17,0.15,0.15,0.16,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16
CO,50204,Gatineau,QC,45.435987,-75.723429,20170311,0.16,-999,0.15,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.16,0.16
CO,50204,Gatineau,QC,45.435987,-75.723429,20170312,0.17,-999,0.19,0.19,0.18,0.17,0.16,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.17,0.16,0.2,0.22,0.18,0.19,0.17,0.18
CO,50204,Gatineau,QC,45.435987,-75.723429,20170313,0.18,-999,0.16,0.17,0.2,0.24,0.28,0.25,0.18,0.16,0.17,0.17,0.16,0.17,0.18,0.19,0.16,0.25,0.17,0.19,0.17,0.16,0.18,0.17
CO,50204,Gatineau,QC,45.435987,-75.723429,20170314,0.17,-999,0.15,0.16,0.17,0.19,0.2,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.2,0.19,0.17,0.21,0.17,0.21,0.17,0.16,0.15,0.16
CO,50204,Gatineau,QC,45.435987,-75.723429,20170315,0.15,-999,0.17,0.18,0.17,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.19,0.19,0.21,0.21,0.18,0.19,0.2,0.17,0.17,0.17,0.17,0.16
CO,50204,Gatineau,QC,45.435987,-75.723429,20170316,0.16,-999,0.17,0.17,0.17,0.18,0.19,0.2,0.19,0.18,0.18,0.18,0.16,0.17,0.18,0.18,0.2,0.2,0.2,0.22,0.24,0.19,0.2,0.18
CO,50204,Gatineau,QC,45.435987,-75.723429,20170317,0.17,-999,0.17,0.19,0.18,0.26,0.28,0.21,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.18,0.21,0.22,0.31,0.61,0.83,0.68,0.49
CO,50204,Gatineau,QC,45.435987,-75.723429,20170318,0.44,-999,0.39,0.36,0.3,0.33,0.35,0.34,0.24,0.23,0.21,0.19,0.17,0.17,0.17,0.18,0.19,0.34,0.2,0.21,0.29,0.33,0.36,0.37
CO,50204,Gatineau,QC,45.435987,-75.723429,20170319,0.34,-999,0.33,0.25,0.22,0.22,0.22,0.22,0.22,0.24,0.21,0.21,0.2,0.19,0.2,0.2,0.2,0.22,0.24,0.25,0.29,0.31,0.44,0.44
CO,50204,Gatineau,QC,45.435987,-75.723429,20170320,0.4,-999,0.4,0.38,0.34,0.42,0.51,0.51,0.52,0.51,0.46,0.41,0.27,0.27,0.31,0.26,0.28,0.51,0.25,0.25,0.27,0.25,0.24,0.23
CO,50204,Gatineau,QC,45.435987,-75.723429,20170321,0.22,-999,0.25,0.25,0.28,0.36,0.5,0.4,0.39,0.33,0.28,0.25,0.23,0.22,0.22,0.23,0.22,0.4,0.31,0.29,0.19,0.17,0.18,0.18
CO,50204,Gatineau,QC,45.435987,-75.723429,20170322,0.17,-999,0.15,0.15,0.15,0.16,0.17,0.18,0.16,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.15,0.18,0.17,0.19,0.19,0.16,0.16,0.15
CO,50204,Gatineau,QC,45.435987,-75.723429,20170323,0.17,-999,0.17,0.16,0.19,0.22,0.25,0.22,0.18,0.17,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.22,0.2,0.18,0.18,0.17,0.17,0.16
CO,50204,Gatineau,QC,45.435987,-75.723429,20170324,0.15,-999,0.16,0.16,0.18,0.21,0.26,0.24,0.25,0.25,0.24,0.22,0.28,0.27,0.3,0.32,0.27,0.24,0.39,0.34,0.36,0.35,0.29,0.26
CO,50204,Gatineau,QC,45.435987,-75.723429,20170325,0.25,-999,0.24,0.23,0.4,0.33,0.28,0.24,0.21,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.24,0.21,0.22,0.28,0.35,0.45,0.35
CO,50204,Gatineau,QC,45.435987,-75.723429,20170326,0.27,-999,0.26,0.24,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.19,0.21,0.21,0.18,0.2,0.2,0.21,0.22,0.22,0.21
CO,50204,Gatineau,QC,45.435987,-75.723429,20170327,0.22,-999,0.22,0.22,0.22,0.24,0.27,0.27,0.25,0.25,0.27,0.27,0.26,0.28,0.32,0.34,0.3,0.27,0.31,0.3,0.31,0.28,0.3,0.27
CO,50204,Gatineau,QC,45.435987,-75.723429,20170328,0.26,-999,0.3,0.3,0.32,0.37,0.45,0.42,0.3,0.27,-999,0.22,0.22,0.22,0.23,0.22,0.19,0.42,0.21,0.27,0.41,0.24,0.21,0.19
CO,50204,Gatineau,QC,45.435987,-75.723429,20170329,0.17,-999,0.16,0.18,0.18,0.19,0.19,0.18,0.17,0.15,0.15,0.16,0.16,0.16,0.15,0.15,0.17,0.18,0.18,0.19,0.22,0.43,0.22,0.2
CO,50204,Gatineau,QC,45.435987,-75.723429,20170330,0.22,-999,0.22,0.2,0.2,0.29,0.37,0.26,0.18,0.15,0.15,0.14,0.15,0.15,0.16,0.16,0.17,0.26,0.17,0.18,0.18,0.18,0.19,0.19
CO,50204,Gatineau,QC,45.435987,-75.723429,20170331,0.18,-999,0.18,0.18,0.17,0.18,0.19,0.17,0.17,0.18,0.18,0.19,0.2,0.21,0.22,0.21,0.21,0.17,0.19,0.18,0.17,0.18,0.18,0.18
CO,50204,Gatineau,QC,45.435987,-75.723429,20170401,0.18,-999,0.18,0.18,0.16,0.18,0.21,0.22,0.22,0.2,0.19,0.18,0.18,0.18,0.19,0.18,0.17,0.22,0.21,0.24,0.26,0.27,0.25,0.27
CO,50204,Gatineau,QC,45.435987,-75.723429,20170402,0.26,-999,0.35,0.4,0.24,0.23,0.25,0.25,0.22,0.18,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.25,0.17,0.19,0.22,0.27,0.22,0.22
CO,50204,Gatineau,QC,45.435987,-75.723429,20170403,0.22,-999,0.21,0.21,0.22,0.33,0.38,0.34,0.19,0.17,0.17,0.18,0.17,0.18,0.19,0.19,0.18,0.34,0.17,0.17,0.2,0.18,0.17,0.15
CO,50204,Gatineau,QC,45.435987,-75.723429,20170404,0.15,-999,0.15,0.14,0.17,0.18,0.2,0.21,-999,-999,-999,-999,-999,-999,0.26,0.26,0.26,0.21,0.21,0.21,0.2,0.19,0.21,0.26
CO,50204,Gatineau,QC,45.435987,-75.723429,20170405,0.21,-999,0.19,0.16,0.16,0.14,0.18,0.22,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.22,-999,-999,-999,-999,-999,-999
CO,50204,Gatineau,QC,45.435987,-75.723429,20170406,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.16,0.19,0.18,0.2,0.19,0.17,-999,0.18,0.19,0.17,0.15,0.16,0.14
CO,50204,Gatineau,QC,45.435987,-75.723429,20170407,0.14,-999,0.16,0.16,0.15,0.15,0.17,0.16,0.14,0.13,0.14,0.12,0.14,0.14,0.16,0.13,0.17,0.16,0.23,0.23,-999,-999,-999,-999
CO,50204,Gatineau,QC,45.435987,-75.723429,20170408,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.13,0.14,0.16,0.16,0.15,0.14,-999,0.14,0.16,0.17,0.17,0.22,0.22
CO,50204,Gatineau,QC,45.435987,-75.723429,20170409,0.22,-999,0.18,0.17,0.16,0.17,0.22,0.2,0.2,0.16,0.15,0.15,0.17,0.15,0.14,0.14,0.15,0.2,0.17,0.21,0.21,0.17,0.3,0.38
CO,50204,Gatineau,QC,45.435987,-75.723429,20170410,0.37,-999,0.25,0.25,0.29,0.4,0.54,0.6,0.36,0.21,0.24,0.25,0.19,0.19,0.2,0.21,0.2,0.6,0.23,0.23,0.23,0.21,0.22,0.22
CO,50204,Gatineau,QC,45.435987,-75.723429,20170411,0.19,-999,0.16,0.16,0.17,0.17,0.19,0.22,0.18,0.17,0.17,0.18,0.19,0.2,0.2,0.19,0.2,0.22,0.22,0.21,0.21,0.19,0.2,0.19
CO,50204,Gatineau,QC,45.435987,-75.723429,20170412,0.19,-999,0.19,0.2,0.22,0.25,0.2,0.18,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.16,0.18,0.15,0.14,0.14,0.14,0.14,0.14
CO,50204,Gatineau,QC,45.435987,-75.723429,20170413,0.14,-999,0.13,0.13,0.14,0.15,0.19,0.17,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.17,0.15,0.17,0.21,0.27,0.24,0.22
CO,50204,Gatineau,QC,45.435987,-75.723429,20170414,0.21,-999,0.2,0.18,0.18,0.2,0.21,0.19,0.17,0.18,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.19,0.17,0.25,0.42,0.47,0.5,0.45
CO,50204,Gatineau,QC,45.435987,-75.723429,20170415,0.48,-999,0.31,0.27,0.26,0.25,0.27,0.25,0.25,0.23,0.22,0.18,0.17,0.17,0.18,0.19,0.22,0.25,0.23,0.23,0.24,0.24,0.2,0.19
CO,50204,Gatineau,QC,45.435987,-75.723429,20170416,0.26,-999,-999,0.24,0.24,0.23,0.22,0.21,0.22,0.24,0.27,0.3,0.26,0.26,0.3,0.25,0.2,0.21,0.2,0.2,0.19,0.18,0.18,0.18
CO,50204,Gatineau,QC,45.435987,-75.723429,20170417,0.17,-999,0.16,0.16,0.15,0.13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.17
CO,50204,Gatineau,QC,45.435987,-75.723429,20170418,0.16,-999,0.15,0.15,0.19,0.28,0.19,0.14,0.17,0.19,0.16,0.16,0.16,0.15,0.16,0.15,-999,0.14,-999,-999,-999,-999,-999,-999
CO,50204,Gatineau,QC,45.435987,-75.723429,20170419,-999,-999,0.17,0.18,0.17,0.21,0.21,0.23,0.24,0.24,0.24,0.21,0.19,0.2,0.25,0.26,0.2,0.23,0.2,0.2,0.19,0.18,0.16,0.16
CO,50204,Gatineau,QC,45.435987,-75.723429,20170420,0.15,-999,0.16,0.15,0.15,0.19,0.18,0.17,0.16,0.24,-999,-999,-999,0.17,0.18,0.19,0.18,0.17,0.17,0.17,0.19,0.19,0.19,0.2
CO,50204,Gatineau,QC,45.435987,-75.723429,20170421,0.18,-999,0.17,0.17,0.18,0.19,0.21,0.22,0.21,0.24,0.22,0.19,0.17,0.17,0.19,0.21,0.21,0.22,0.17,0.16,0.16,0.16,0.16,0.15
CO,50204,Gatineau,QC,45.435987,-75.723429,20170422,0.15,-999,0.16,0.16,0.16,0.21,0.17,0.17,-999,-999,-999,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.2,0.24,0.3,0.35,0.24
CO,50204,Gatineau,QC,45.435987,-75.723429,20170423,0.26,-999,0.28,0.22,0.19,0.26,0.25,0.22,0.18,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.22,0.14,0.15,0.14,0.14,0.14,0.14
CO,50204,Gatineau,QC,45.435987,-75.723429,20170424,0.13,-999,0.13,0.13,0.13,0.14,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.15,0.14,0.15,0.16,0.15,0.18,0.17,0.17,0.17
CO,50204,Gatineau,QC,45.435987,-75.723429,20170425,0.15,-999,0.15,0.16,0.16,0.16,0.17,0.17,0.15,0.15,0.16,0.17,0.18,0.19,0.21,0.23,0.22,0.17,0.18,0.18,0.17,0.16,0.16,0.16
CO,50204,Gatineau,QC,45.435987,-75.723429,20170426,0.16,-999,0.19,0.18,0.18,0.19,0.2,0.2,0.18,0.17,0.18,0.19,0.4,0.24,0.23,0.19,0.24,0.2,0.18,0.19,0.21,0.22,0.25,0.19
CO,50204,Gatineau,QC,45.435987,-75.723429,20170427,0.18,-999,0.17,0.18,0.19,0.2,0.21,0.22,0.21,0.19,0.19,0.19,0.2,0.19,0.19,0.23,0.19,0.22,0.16,0.16,0.17,0.19,0.21,0.2
CO,50204,Gatineau,QC,45.435987,-75.723429,20170428,0.17,-999,0.17,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.18,0.19,0.17,0.17
CO,50204,Gatineau,QC,45.435987,-75.723429,20170429,0.15,-999,0.15,0.16,0.17,0.17,0.17,0.16,0.15,0.14,0.15,0.14,0.13,0.13,0.13,0.14,0.13,0.16,0.13,0.13,0.14,0.14,0.14,0.13
CO,50204,Gatineau,QC,45.435987,-75.723429,20170430,0.14,-999,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.14,0.14,0.15,0.15,0.15,0.16,0.15,0.16,0.13,0.16,0.17,0.16,0.16,0.15,0.14
CO,50204,Gatineau,QC,45.435987,-75.723429,20170501,0.15,-999,0.15,0.16,0.15,0.17,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.21,0.21,0.21,0.22,0.19,0.23,0.22,0.19,0.2,0.19,0.19
CO,50204,Gatineau,QC,45.435987,-75.723429,20170502,0.19,-999,-999,-999,-999,0.18,0.18,0.18,0.17,0.16,-999,-999,-999,0.24,0.18,0.18,0.17,0.18,0.15,0.16,0.16,0.17,0.15,0.15
CO,50204,Gatineau,QC,45.435987,-75.723429,20170503,0.15,-999,0.14,0.14,0.2,0.2,0.13,0.12,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.13,0.15,0.12,0.12,0.15,0.25,0.29,0.22,0.25
CO,50204,Gatineau,QC,45.435987,-75.723429,20170504,0.22,-999,0.17,0.19,0.19,0.24,0.3,0.34,0.3,0.28,0.23,0.17,0.13,0.13,0.16,0.17,0.15,0.34,0.14,0.14,0.16,0.2,0.15,0.14
CO,50204,Gatineau,QC,45.435987,-75.723429,20170505,0.18,-999,0.16,0.17,0.16,0.16,0.19,0.2,0.19,0.17,0.18,0.2,0.18,0.16,0.21,0.24,0.19,0.2,0.17,0.18,0.2,0.16,0.14,0.11
CO,50204,Gatineau,QC,45.435987,-75.723429,20170506,0.15,-999,0.14,0.12,0.15,0.16,0.16,0.16,0.18,0.18,0.22,0.23,0.22,0.22,0.2,0.29,0.18,0.16,0.15,0.11,0.13,0.14,0.15,0.15
CO,50204,Gatineau,QC,45.435987,-75.723429,20170507,0.14,-999,0.14,0.14,0.15,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.14,0.14,0.14,0.13,0.13,0.15,0.14,0.15,0.15,0.15
CO,50204,Gatineau,QC,45.435987,-75.723429,20170508,0.14,-999,0.15,0.15,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.15,0.12,0.13,0.15,0.15,0.13,0.13,0.12,0.11,0.13,0.14,0.15,0.14
CO,50204,Gatineau,QC,45.435987,-75.723429,20170509,0.13,-999,0.13,0.13,0.13,0.14,0.15,0.15,0.16,0.17,0.15,0.13,0.13,0.13,0.14,0.13,0.13,0.15,0.14,0.14,0.16,0.16,0.18,0.16
CO,50204,Gatineau,QC,45.435987,-75.723429,20170510,0.14,-999,0.14,0.15,0.16,0.17,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.16,0.16,0.14,0.15,0.15,0.16,0.15,0.16,0.15,0.16
CO,50204,Gatineau,QC,45.435987,-75.723429,20170511,0.16,-999,0.18,0.16,0.18,0.22,0.23,0.18,0.16,0.17,0.16,0.15,0.15,0.15,0.17,0.17,0.18,0.18,0.16,0.17,0.22,0.18,0.16,0.16
CO,50204,Gatineau,QC,45.435987,-75.723429,20170512,0.18,-999,0.19,0.18,0.21,0.28,0.17,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.17,0.17,0.17,0.15,0.15,0.16,0.16,0.16,0.17,0.17
CO,50204,Gatineau,QC,45.435987,-75.723429,20170513,0.16,-999,0.16,0.15,0.15,0.17,0.17,0.19,0.19,0.19,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.19,0.15,0.17,0.19,0.17,0.17,0.17
CO,50204,Gatineau,QC,45.435987,-75.723429,20170514,0.17,-999,0.16,0.19,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.16,0.15,0.13,0.14,0.14,0.15,0.14,0.14,0.16,0.15,0.14,0.13
CO,50204,Gatineau,QC,45.435987,-75.723429,20170515,0.13,-999,0.12,0.12,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.15,0.15
CO,50204,Gatineau,QC,45.435987,-75.723429,20170516,0.13,-999,0.12,0.13,0.13,0.18,0.18,0.19,0.16,0.14,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.19,0.17,0.19,0.15,0.14,0.14,0.14
CO,50204,Gatineau,QC,45.435987,-75.723429,20170517,0.13,-999,0.14,0.15,0.15,0.18,0.2,0.22,0.18,0.18,0.2,0.2,0.19,0.19,0.18,0.21,0.2,0.22,0.21,0.21,0.21,0.19,0.22,0.21
CO,50204,Gatineau,QC,45.435987,-75.723429,20170518,0.2,-999,0.18,0.19,0.19,0.21,0.22,0.21,0.19,0.19,0.18,0.17,0.17,0.18,0.18,0.18,0.16,0.21,0.16,0.15,0.16,0.16,0.14,0.13
CO,50204,Gatineau,QC,45.435987,-75.723429,20170519,0.13,-999,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.12,0.11
CO,50204,Gatineau,QC,45.435987,-75.723429,20170520,0.12,-999,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.11,0.14,0.17,0.32,0.27,0.23,0.26
CO,50204,Gatineau,QC,45.435987,-75.723429,20170521,0.24,-999,0.22,0.2,0.16,0.16,0.15,0.14,0.13,0.13,0.14,0.14,0.15,0.15,0.14,0.15,0.17,0.14,0.14,0.14,0.16,0.16,0.15,0.16
CO,50204,Gatineau,QC,45.435987,-75.723429,20170522,0.14,-999,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.18,0.18,0.18,0.17,0.2,0.21,0.17,0.17,0.16,0.17,0.16,0.15,0.14,0.15,0.15
