*DESCRIPTION
*MEANS REPORT
************DESCRIPTION************
"File generated on","2021-06-23"
"",""
"NAPS Means Datafile",""
"",""
"Units:",""
"SO2 NO2 O3 NO and NOx are ppb",""
"CO is ppm",""
"PM10 and PM2.5 are in ug/m3",""
"",""
"Reporting criteria:",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
************MEANS REPORT************
"NAPS ID","City","Location","Latitude","Longitude","Elevation","Classification","Pollutant","January","February","March","April","May","June","July","August","September","October","November","December","Average","StdDeviation","%Complete","","","","","","","","","","","",""
"010801","Port-Au-Choix","Port Au Choix (Town Hall)","50.7123","-57.36421","17","RB,NU,P2,F","O3","","","36","36","32","28","21","21","21","28","27","36","","","80","","","","","","","","","","","",""
"010901","Marystown","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","CO","0.14","0.15","0.14","0.19","0.13","0.11","0.1","0.11","0.11","0.11","0.1","0.09","0.12","0.09","88","","","","","","","","","","","",""
"010901","Marystown","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","NO","1","1","1","0","1","0","0","0","0","0","0","0","0","1","100","","","","","","","","","","","",""
"010901","Marystown","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","NO2","1","1","1","1","0","0","0","0","0","0","1","1","1","1","100","","","","","","","","","","","",""
"010901","Marystown","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","NOX","2","2","1","1","1","1","0","1","0","1","1","1","1","2","100","","","","","","","","","","","",""
"010901","Marystown","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","O3","35","38","38","37","31","27","24","21","21","25","27","36","30","9","99","","","","","","","","","","","",""
"010901","Marystown","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","PM2.5","6","6","6","6","5","3","3","4","5","6","6","8","5","3","98","","","","","","","","","","","",""
"010901","Marystown","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","SO2","-0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","","0.1","0.1","0.1","0.1","0.1","81","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","CO","3.06","4.27","4.94","3.22","3.73","3.88","3.47","3.22","2.93","4.46","6.83","9.67","4.52","7.03","97","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","NO","0","1","1","1","1","2","1","1","1","2","1","2","1","3","97","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","NO2","2","3","4","2","2","2","2","2","2","3","6","7","3","5","97","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","NOX","2","4","5","3","4","4","4","3","3","5","7","10","4","7","97","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","O3","45","41","41","42","40","31","26","24","24","30","31","37","34","12","94","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","PM2.5","3","4","3","4","4","3","2","1","2","3","3","4","3","4","93","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","SO2","0.7","0.8","0.4","0.5","0.8","1.3","0.5","0.3","0.3","2","0.6","0.8","0.7","3.5","97","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","NO","0","0","0","0","0","0","0","0","1","1","0","0","0","1","98","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","NO2","3","3","2","2","2","1","1","1","1","2","3","2","2","3","98","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","NOX","3","3","3","2","2","1","1","1","2","3","3","2","2","3","98","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","O3","31","33","35","34","29","26","24","22","25","21","25","31","28","9","98","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","PM2.5","4","5","4","3","","","11","11","11","8","8","10","","","78","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","SO2","1.6","1.1","1.1","1","0.7","0.4","0.3","0.1","0.1","0.3","0.3","0.4","0.6","1.2","98","","","","","","","","","","","",""
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","NO","0","0","0","0","0","0","0","0","0","","0","0","0","0","85","","","","","","","","","","","",""
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","NO2","1","1","1","1","1","1","1","1","0","","0","1","1","1","85","","","","","","","","","","","",""
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","NOX","1","1","1","1","1","1","1","1","0","","0","1","1","1","85","","","","","","","","","","","",""
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","O3","32","35","35","35","28","25","21","19","18","20","23","","27","10","95","","","","","","","","","","","",""
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","PM2.5","7","8","6","6","4","","6","5","4","4","6","6","6","3","85","","","","","","","","","","","",""
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","NO","0","","","","0","","0","0","0","0","0","0","","","69","","","","","","","","","","","",""
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","NO2","0","","","","0","","0","0","0","0","0","0","","","69","","","","","","","","","","","",""
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","NOX","0","","","","0","","0","0","0","0","0","0","","","69","","","","","","","","","","","",""
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","O3","34","35","36","34","29","","22","20","20","21","24","33","28","9","87","","","","","","","","","","","",""
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","PM2.5","5","8","7","8","6","","6","5","6","6","7","7","6","4","85","","","","","","","","","","","",""
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","PM2.5","6","6","6","5","4","3","4","3","3","6","7","7","5","4","92","","","","","","","","","","","",""
"030118","Halifax","1649 Barrington Street","44.646425","-63.573383","18","PE,LU,P4,R","CO","0.19","0.31","0.33","0.24","0.14","0.11","0.15","0.14","0.14","0.15","0.15","0.13","0.18","0.1","99","","","","","","","","","","","",""
"030118","Halifax","1649 Barrington Street","44.646425","-63.573383","18","PE,LU,P4,R","NO","8","7","6","5","6","5","7","5","8","10","7","4","7","9","100","","","","","","","","","","","",""
"030118","Halifax","1649 Barrington Street","44.646425","-63.573383","18","PE,LU,P4,R","NO2","11","10","10","8","9","8","8","6","8","9","10","10","9","6","100","","","","","","","","","","","",""
"030118","Halifax","1649 Barrington Street","44.646425","-63.573383","18","PE,LU,P4,R","NOX","20","17","15","13","15","13","15","11","16","19","17","14","15","14","100","","","","","","","","","","","",""
"030118","Halifax","1649 Barrington Street","44.646425","-63.573383","18","PE,LU,P4,R","O3","19","21","21","25","19","19","18","16","15","15","18","23","19","8","100","","","","","","","","","","","",""
"030118","Halifax","1649 Barrington Street","44.646425","-63.573383","18","PE,LU,P4,R","SO2","0.7","0.6","0.3","0.8","0.8","0.4","0.6","0.2","0.2","0.5","0.3","0.5","0.5","0.6","96","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","NO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","NO2","2","2","1","1","1","1","1","1","1","1","1","2","1","1","99","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","NOX","2","2","1","1","1","1","1","1","1","1","1","2","1","2","99","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","O3","31","34","36","36","29","27","25","21","21","22","24","30","28","9","98","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","PM2.5","5","6","6","5","4","4","6","4","4","6","","5","5","3","89","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","SO2","0.3","0","0.1","0.2","0","0","0","0.1","0","0.1","0","0.1","0.1","0.3","99","","","","","","","","","","","",""
"030201","Port Hawkesburry","23 Embree Street","45.6141612","-61.3623563","14","PE,SU,P2,F","NO","2","0","1","0","1","1","1","1","1","0","1","3","1","3","99","","","","","","","","","","","",""
"030201","Port Hawkesburry","23 Embree Street","45.6141612","-61.3623563","14","PE,SU,P2,F","NO2","3","2","2","1","2","1","1","1","1","2","2","4","2","3","99","","","","","","","","","","","",""
"030201","Port Hawkesburry","23 Embree Street","45.6141612","-61.3623563","14","PE,SU,P2,F","NOX","5","3","3","2","2","2","2","2","1","2","3","7","3","6","99","","","","","","","","","","","",""
"030201","Port Hawkesburry","23 Embree Street","45.6141612","-61.3623563","14","PE,SU,P2,F","O3","33","35","36","34","29","27","26","22","22","22","25","31","28","9","99","","","","","","","","","","","",""
"030201","Port Hawkesburry","23 Embree Street","45.6141612","-61.3623563","14","PE,SU,P2,F","PM2.5","6","7","6","7","5","4","5","4","3","4","4","5","5","3","96","","","","","","","","","","","",""
"030201","Port Hawkesburry","23 Embree Street","45.6141612","-61.3623563","14","PE,SU,P2,F","SO2","0.6","0.6","0.8","0.7","0.7","0.6","0.8","0.4","0.4","1.4","0.3","0.5","0.6","2.7","99","","","","","","","","","","","",""
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","CO","0.06","0.14","0.14","0.14","0.11","0.06","0.08","0.1","0.09","0.12","0.15","0.15","0.11","0.07","98","","","","","","","","","","","",""
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","NO","2","3","2","1","1","1","1","1","2","2","2","2","2","3","98","","","","","","","","","","","",""
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","NO2","4","4","3","2","2","1","1","2","1","3","4","4","3","3","98","","","","","","","","","","","",""
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","NOX","5","6","4","2","3","2","1","2","3","5","6","5","4","6","98","","","","","","","","","","","",""
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","O3","33","33","35","35","29","25","25","22","21","23","25","32","28","9","99","","","","","","","","","","","",""
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","PM2.5","7","8","7","6","5","5","6","4","3","5","6","7","6","4","92","","","","","","","","","","","",""
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","SO2","0.5","0.1","0.1","0.4","0.1","0.1","0.4","0.3","0.2","0.5","0.4","0.2","0.3","1.5","99","","","","","","","","","","","",""
"030501","Kejimkujik","National Park","44.433611","-65.205833","127","RB,NU,P1,F","O3","32","35","36","36","29","25","24","21","19","21","23","29","27","9","98","","","","","","","","","","","",""
"030502","Kejimkujik","National Park, Kejimkujik Rd","44.43244","-65.20264","124","RB,NU,P1,F","O3","32","34","36","35","30","27","27","22","20","21","22","29","28","10","98","","","","","","","","","","","",""
"030701","Aylesford","1009 Mountain Brow Road, Kings County","45.07267","-64.84033","235","RB,NU,P2,F","NO","0","1","1","1","0","0","0","1","0","0","0","0","0","0","99","","","","","","","","","","","",""
"030701","Aylesford","1009 Mountain Brow Road, Kings County","45.07267","-64.84033","235","RB,NU,P2,F","NO2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","99","","","","","","","","","","","",""
"030701","Aylesford","1009 Mountain Brow Road, Kings County","45.07267","-64.84033","235","RB,NU,P2,F","NOX","1","1","1","1","0","0","0","0","0","0","0","0","0","1","99","","","","","","","","","","","",""
"030701","Aylesford","1009 Mountain Brow Road, Kings County","45.07267","-64.84033","235","RB,NU,P2,F","O3","35","36","37","37","32","29","29","26","25","27","28","32","31","8","99","","","","","","","","","","","",""
"030701","Aylesford","1009 Mountain Brow Road, Kings County","45.07267","-64.84033","235","RB,NU,P2,F","PM2.5","6","7","8","7","5","5","7","6","5","5","6","6","6","3","97","","","","","","","","","","","",""
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","NO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98","","","","","","","","","","","",""
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","NO2","1","2","1","1","1","1","1","1","1","1","0","1","1","1","98","","","","","","","","","","","",""
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","NOX","1","2","1","1","1","1","1","1","1","1","0","1","1","2","98","","","","","","","","","","","",""
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","O3","27","28","30","28","25","22","21","18","17","17","19","25","23","8","97","","","","","","","","","","","",""
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","PM2.5","5","6","5","6","3","3","4","3","3","5","5","6","5","4","93","","","","","","","","","","","",""
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","SO2","0.6","0.5","0.7","0.3","0.5","0.6","0","0.2","0.1","0.3","0.1","0.2","0.3","1.6","97","","","","","","","","","","","",""
"031101","Kentville","32 Main Street","45.06725","-64.47743","60","PE,SU,P3,A","NO","","0","0","0","0","0","0","0","0","1","0","0","0","1","95","","","","","","","","","","","",""
"031101","Kentville","32 Main Street","45.06725","-64.47743","60","PE,SU,P3,A","NO2","","1","1","1","1","1","1","0","1","1","1","1","1","1","95","","","","","","","","","","","",""
"031101","Kentville","32 Main Street","45.06725","-64.47743","60","PE,SU,P3,A","NOX","","1","1","1","1","1","1","1","1","1","1","1","1","2","95","","","","","","","","","","","",""
"031101","Kentville","32 Main Street","45.06725","-64.47743","60","PE,SU,P3,A","O3","","35","36","35","29","27","27","24","22","22","24","31","28","10","95","","","","","","","","","","","",""
"031101","Kentville","32 Main Street","45.06725","-64.47743","60","PE,SU,P3,A","PM2.5","","","5","5","5","4","7","6","4","4","5","5","","","85","","","","","","","","","","","",""
"040103","Fredericton","437 Aberdeen Street","45.957318","-66.646719","21","PE,MU,P3,R","CO","0.27","0.29","0.23","0.18","0.17","0.15","0.17","0.17","0.15","0.19","0.19","0.32","0.21","0.12","100","","","","","","","","","","","",""
"040103","Fredericton","437 Aberdeen Street","45.957318","-66.646719","21","PE,MU,P3,R","NO","1","1","0","0","0","0","0","1","1","1","1","1","1","2","99","","","","","","","","","","","",""
"040103","Fredericton","437 Aberdeen Street","45.957318","-66.646719","21","PE,MU,P3,R","NO2","4","4","3","2","1","1","1","2","2","2","3","4","2","3","99","","","","","","","","","","","",""
"040103","Fredericton","437 Aberdeen Street","45.957318","-66.646719","21","PE,MU,P3,R","NOX","5","5","3","2","2","1","2","2","3","3","4","5","3","5","99","","","","","","","","","","","",""
"040103","Fredericton","437 Aberdeen Street","45.957318","-66.646719","21","PE,MU,P3,R","O3","28","29","31","32","27","23","21","18","14","16","18","25","24","10","100","","","","","","","","","","","",""
