Pollutant:, CO
Units:, ppm
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
CO,010102,St Johns,NL,47.56038,-52.7115,20130126,0.20,0.20,0.19,0.20,0.19,0.19,0.19,0.20,0.20,0.20,0.21,0.20,0.21,0.21,0.21,0.22,0.21,0.23,0.23,0.23,0.22,0.24,0.29,0.29
CO,010102,St Johns,NL,47.56038,-52.7115,20130127,0.30,0.20,0.23,0.28,0.16,0.14,0.15,0.15,0.16,0.16,0.18,0.19,0.19,0.18,0.21,0.19,0.20,0.24,0.24,0.22,0.21,0.18,0.18,0.19
CO,010102,St Johns,NL,47.56038,-52.7115,20130128,0.17,0.16,0.19,0.16,0.16,0.16,0.17,0.19,0.21,0.18,0.18,0.19,0.19,0.22,0.21,0.21,0.23,0.23,0.18,0.20,0.19,0.19,0.19,0.19
CO,010102,St Johns,NL,47.56038,-52.7115,20130129,0.21,0.17,0.17,0.16,0.17,0.17,0.17,0.24,0.22,-999,-999,0.20,0.21,0.19,0.21,0.21,0.23,0.36,0.39,0.50,0.60,0.22,0.23,0.21
CO,010102,St Johns,NL,47.56038,-52.7115,20130130,0.23,0.17,0.17,0.16,0.15,0.15,0.16,0.19,0.23,0.19,0.18,0.20,0.19,0.18,0.18,0.18,0.22,0.23,0.19,0.18,0.17,0.16,0.15,-999
CO,010102,St Johns,NL,47.56038,-52.7115,20130131,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CO,010102,St Johns,NL,47.56038,-52.7115,20130201,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.18,0.16,0.17,0.17,0.16
CO,010102,St Johns,NL,47.56038,-52.7115,20130202,0.16,0.16,0.17,0.19,0.19,0.17,0.18,0.22,0.23,0.22,0.23,0.22,0.21,0.21,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.23,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20130203,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.21,0.18,0.17,0.18,0.18,0.18,0.17,0.19,0.17,0.20,0.25,0.17,0.15,0.17,0.14,0.15,0.14
CO,010102,St Johns,NL,47.56038,-52.7115,20130204,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.13,0.13,0.12,0.12,0.11,0.13,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20130205,0.15,0.14,0.14,0.14,0.14,0.15,0.16,0.17,0.18,0.16,0.16,0.16,0.17,0.16,0.16,0.15,0.17,0.18,0.16,0.16,0.16,0.16,0.20,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20130206,0.15,0.14,0.15,0.15,0.15,0.15,0.19,0.31,0.41,0.44,0.45,0.37,0.26,0.26,0.27,0.22,0.44,0.36,0.40,0.22,0.26,0.25,0.41,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,20130207,0.19,0.20,0.19,0.16,0.14,0.15,0.14,0.18,0.21,0.19,0.18,0.19,0.21,0.21,0.19,0.19,0.22,0.18,0.17,0.16,0.16,0.16,0.17,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20130208,0.16,0.15,0.14,0.14,0.13,0.14,0.13,0.15,0.16,0.17,0.31,0.22,0.18,0.17,0.18,0.22,0.22,0.24,0.20,0.20,0.22,0.25,0.27,0.32
