Pollutant:, CO
Units:, ppm
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
CO,010102,St Johns,NL,47.56038,-52.7115,20140122,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.23,0.26,0.21,0.17,0.18,0.17,0.17,0.19,0.29,0.44,0.55,0.33,0.25,0.13,0.12,0.11,0.10
CO,010102,St Johns,NL,47.56038,-52.7115,20140123,0.10,0.10,0.10,0.10,0.11,0.12,0.12,0.12,0.13,0.13,0.14,0.15,0.15,0.16,0.16,0.16,0.19,0.17,0.16,0.16,0.15,0.15,0.15,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20140124,0.15,0.14,0.15,0.15,0.15,0.15,0.16,0.18,0.19,0.17,0.16,0.17,0.19,0.19,0.18,0.19,0.22,0.26,0.22,0.21,0.23,0.22,0.20,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,20140125,0.27,0.18,0.19,0.18,0.15,0.14,0.15,0.16,0.17,0.17,0.18,0.17,0.19,0.19,0.18,0.18,0.19,0.21,0.26,0.22,0.28,0.35,0.37,0.49
CO,010102,St Johns,NL,47.56038,-52.7115,20140126,0.38,0.22,0.16,0.17,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.16,0.16,0.16,0.16,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20140127,0.16,0.15,0.13,0.13,0.13,0.13,0.13,0.15,0.16,0.15,0.16,0.16,0.17,0.17,0.17,0.19,0.22,0.23,0.19,0.16,0.15,0.15,0.14,0.14
CO,010102,St Johns,NL,47.56038,-52.7115,20140128,0.13,0.13,0.14,0.13,0.13,0.13,0.15,0.18,0.31,0.22,0.20,0.19,0.19,0.18,0.16,0.17,0.20,0.19,0.17,0.17,0.17,0.15,0.15,0.14
CO,010102,St Johns,NL,47.56038,-52.7115,20140129,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.18,0.23,0.25,0.22,0.18,0.18,0.18,0.21,0.26,0.39,0.26,0.20,0.16,0.16,0.20,0.42,0.31
CO,010102,St Johns,NL,47.56038,-52.7115,20140130,0.19,0.18,0.16,0.14,0.15,0.15,0.25,0.21,0.30,0.27,0.21,0.18,0.17,0.20,0.21,0.21,0.23,0.26,0.22,0.21,0.21,0.21,0.19,0.19
CO,010102,St Johns,NL,47.56038,-52.7115,20140131,0.19,0.19,0.18,0.19,0.17,0.17,0.18,0.23,0.23,0.22,0.20,0.19,0.19,0.18,0.18,0.20,0.22,0.21,0.17,0.17,0.16,0.16,0.16,0.14
CO,010102,St Johns,NL,47.56038,-52.7115,20140201,0.15,0.14,0.14,0.15,0.15,0.16,0.17,0.19,0.19,0.20,0.19,0.18,0.19,0.19,0.19,0.17,0.16,0.18,0.19,0.18,0.17,0.18,0.17,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20140202,0.19,0.17,0.16,0.17,0.16,0.15,0.17,0.19,0.18,0.21,0.20,0.19,0.20,0.20,0.18,0.23,0.17,0.23,0.21,0.34,0.64,0.62,0.40,0.23
CO,010102,St Johns,NL,47.56038,-52.7115,20140203,0.17,0.16,0.19,0.18,0.17,0.35,0.29,0.22,0.33,0.19,0.20,0.21,0.19,0.21,0.22,0.23,0.32,0.29,0.30,0.22,0.23,0.33,0.28,0.25
CO,010102,St Johns,NL,47.56038,-52.7115,20140204,0.27,0.19,0.19,0.17,0.18,0.18,0.31,0.53,0.84,0.24,0.20,0.21,0.19,0.18,0.19,0.21,0.29,0.31,0.28,0.24,0.23,0.21,0.22,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20140205,0.16,0.15,0.15,0.16,0.17,0.15,0.15,0.18,0.21,0.17,0.16,0.16,0.19,0.16,0.16,0.20,0.25,0.37,0.30,0.30,0.25,0.23,0.35,0.24
CO,010102,St Johns,NL,47.56038,-52.7115,20140206,0.22,0.24,0.34,0.15,0.14,0.13,0.37,0.17,0.22,0.21,0.18,0.61,0.19,0.20,0.17,0.18,0.22,0.25,0.20,0.18,0.17,0.17,0.19,0.19
CO,010102,St Johns,NL,47.56038,-52.7115,20140207,0.17,0.16,0.16,0.15,0.16,0.17,0.19,0.31,0.34,0.26,0.23,0.22,0.20,0.18,0.19,0.20,0.24,0.26,0.20,0.19,0.21,0.18,0.18,0.24
CO,010102,St Johns,NL,47.56038,-52.7115,20140208,0.20,0.18,0.17,0.22,0.26,0.22,0.19,0.21,0.24,0.21,0.18,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.21,0.24,0.22,0.20,0.22,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20140209,0.18,0.18,0.18,0.18,0.17,0.19,0.20,0.22,0.23,0.22,0.18,0.18,0.18,0.18,0.17,0.18,0.19,0.24,0.35,0.30,0.27,0.27,0.26,0.22
CO,010102,St Johns,NL,47.56038,-52.7115,20140210,0.20,0.19,0.15,0.16,0.16,0.18,0.20,0.29,0.31,0.18,0.17,0.21,0.21,0.20,0.20,0.23,0.27,0.34,0.38,0.30,0.39,0.42,0.47,0.30
CO,010102,St Johns,NL,47.56038,-52.7115,20140211,0.23,0.19,0.16,0.16,0.15,0.16,0.19,0.28,0.26,0.18,0.18,0.19,0.19,0.19,0.18,0.20,0.23,0.24,0.20,0.18,0.17,0.18,0.21,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20140212,0.18,0.22,0.17,0.15,0.15,0.15,0.19,0.23,0.22,0.18,0.18,0.19,0.20,0.20,0.20,0.20,0.23,0.29,0.29,0.40,0.28,0.18,0.31,0.26
CO,010102,St Johns,NL,47.56038,-52.7115,20140213,0.16,0.16,0.25,0.16,0.15,0.15,0.22,0.30,0.30,0.23,0.25,0.23,0.22,0.20,0.20,0.18,0.19,0.20,0.20,0.20,0.19,0.18,0.17,0.16
CO,010102,St Johns,NL,47.56038,-52.7115,20140214,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.15,0.16,0.16,0.16,0.15,0.16,0.17,0.17,0.17,0.17,0.17,0.15,0.15,0.15,0.16,0.16,0.16
CO,010102,St Johns,NL,47.56038,-52.7115,20140215,0.16,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.17,0.17,0.17,0.17,0.18,0.19,0.20,0.21,0.29,0.24,0.31,0.28
CO,010102,St Johns,NL,47.56038,-52.7115,20140216,0.33,0.26,0.33,0.24,0.16,0.15,0.15,0.14,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14
CO,010102,St Johns,NL,47.56038,-52.7115,20140217,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.16,0.15,0.15,0.17,0.18,0.18,0.19,0.18,0.21,0.20,0.19,0.19,0.20,0.19,0.20,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,20140218,0.20,0.24,0.18,0.17,0.16,0.16,0.53,0.22,0.20,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.20,0.21,0.21,0.21,0.21,0.22,0.22,0.25
CO,010102,St Johns,NL,47.56038,-52.7115,20140219,0.19,0.17,0.17,0.16,0.16,0.17,0.18,0.41,0.36,0.20,0.18,0.21,0.19,0.18,0.17,0.18,0.19,0.24,0.16,0.16,0.18,0.32,0.19,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20140220,0.16,0.16,0.16,0.16,0.16,0.16,0.68,0.21,0.20,0.19,0.19,0.25,0.20,0.21,0.22,0.21,0.23,0.20,0.18,0.18,0.19,0.18,0.18,0.16
CO,010102,St Johns,NL,47.56038,-52.7115,20140221,0.15,0.15,0.16,0.16,0.15,0.15,0.16,0.15,0.17,0.17,0.16,0.18,0.18,0.25,0.17,0.23,0.30,0.23,0.22,0.24,0.24,0.21,0.22,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,20140222,0.20,0.20,0.26,0.23,0.20,0.24,0.17,0.19,0.21,0.18,0.17,0.19,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.19,0.18,0.21,0.18,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20140223,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.17,0.16,0.16,0.17,0.18,0.19,0.19,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.18,0.16
CO,010102,St Johns,NL,47.56038,-52.7115,20140224,0.16,0.15,0.16,0.17,0.16,0.17,0.19,0.28,0.52,0.47,0.30,0.28,0.24,0.38,0.21,0.38,0.22,0.22,0.29,0.27,0.30,0.33,0.49,0.34
CO,010102,St Johns,NL,47.56038,-52.7115,20140225,0.19,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.19,0.16,0.18,0.19,0.18,0.18,0.18,0.20,0.23,0.22,0.19,0.18,0.18,0.19,0.18,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20140226,0.17,0.17,0.21,0.17,0.18,0.19,0.22,0.35,0.26,0.20,0.19,0.18,0.20,0.19,0.19,0.21,0.24,0.26,0.21,0.22,0.20,0.20,0.20,0.23
CO,010102,St Johns,NL,47.56038,-52.7115,20140227,0.21,0.20,0.22,0.20,0.22,0.25,0.20,0.17,0.19,0.21,0.23,0.21,0.22,0.38,0.44,0.32,0.39,0.30,0.27,0.25,0.28,0.29,0.35,0.44
CO,010102,St Johns,NL,47.56038,-52.7115,20140228,0.31,0.33,0.28,0.28,0.20,0.17,0.18,0.19,0.20,0.21,0.22,0.20,0.20,0.22,0.20,0.18,0.18,0.20,0.19,0.20,0.19,0.20,0.23,0.19
CO,010102,St Johns,NL,47.56038,-52.7115,20140301,0.19,0.18,0.19,0.19,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.17,0.18,0.19,0.18,0.21,0.19,0.21,0.22,0.26,0.26,0.26,0.35,0.26
CO,010102,St Johns,NL,47.56038,-52.7115,20140302,0.35,0.25,0.21,0.26,0.23,0.18,0.18,0.22,0.26,0.23,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.20,0.20,0.18,0.18,0.16,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20140303,0.17,0.17,0.18,0.18,0.18,0.18,0.17,0.28,0.23,0.20,0.21,0.26,0.23,0.24,0.25,0.28,0.56,0.34,0.55,0.25,0.23,0.20,0.19,0.22
CO,010102,St Johns,NL,47.56038,-52.7115,20140304,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.20,0.19,0.19,0.18,0.19,0.18,0.19,0.20,0.21,0.22,0.19,0.18,0.17,0.18,0.18,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20140305,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.21,0.20,0.18,0.18,0.20,0.20,0.19,0.20,0.20,0.21,0.24,0.20,0.19,0.19,0.20,0.21,0.19
CO,010102,St Johns,NL,47.56038,-52.7115,20140306,0.18,0.19,0.18,0.20,0.19,0.20,0.28,0.43,0.25,0.20,0.17,0.16,0.17,0.17,0.17,0.22,0.21,0.25,0.22,0.24,0.25,0.23,0.25,0.38
CO,010102,St Johns,NL,47.56038,-52.7115,20140307,0.17,0.16,0.16,0.18,0.17,0.17,0.18,0.26,0.22,0.17,0.15,0.21,0.20,0.18,0.19,0.19,0.20,0.20,0.18,0.17,0.17,0.17,0.19,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20140308,0.16,0.16,0.16,0.16,0.15,0.16,0.17,0.17,0.18,0.19,0.17,0.18,0.18,0.18,0.19,0.19,0.19,0.20,0.21,0.20,0.18,0.19,0.32,0.25
CO,010102,St Johns,NL,47.56038,-52.7115,20140309,-999,0.29,0.28,0.32,0.30,0.17,0.19,0.17,0.30,0.18,0.18,0.19,0.19,0.19,0.21,0.22,0.23,0.20,0.22,0.21,0.25,0.23,0.24,0.19
CO,010102,St Johns,NL,47.56038,-52.7115,20140310,0.51,0.19,0.20,0.21,0.22,0.29,0.43,0.69,0.54,0.18,0.26,0.36,0.27,0.23,0.38,0.50,0.30,0.26,0.28,0.24,0.30,0.29,0.34,0.33
CO,010102,St Johns,NL,47.56038,-52.7115,20140311,0.32,0.24,0.21,0.22,0.28,0.35,0.55,0.89,0.59,0.31,0.23,0.19,0.21,0.24,0.23,0.21,0.20,0.20,0.21,0.19,0.19,0.21,0.18,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20140312,0.16,0.16,0.16,0.16,0.16,0.26,0.18,-999,0.20,0.35,0.24,0.21,-999,0.21,0.22,0.26,0.24,0.21,0.18,0.20,0.19,0.24,0.20,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20140313,0.18,0.17,0.17,0.18,0.18,0.20,0.19,0.20,0.17,0.18,0.17,0.20,0.20,0.20,0.20,0.21,0.20,0.19,0.18,0.17,0.17,0.18,0.16,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20140314,0.15,0.15,0.15,0.15,0.16,0.17,0.18,0.19,0.18,0.18,0.17,0.16,0.18,0.18,0.19,0.21,0.21,0.21,0.21,0.20,0.20,0.23,0.20,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,20140315,0.19,0.21,0.21,0.19,0.19,0.20,0.21,0.21,0.22,0.23,0.27,0.19,0.27,0.25,0.33,0.33,0.26,0.36,0.28,0.33,0.41,0.47,0.41,0.35
CO,010102,St Johns,NL,47.56038,-52.7115,20140316,0.34,0.31,0.27,0.26,0.23,0.21,0.24,0.33,0.19,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.18,0.19,0.19,0.18,0.18,0.16,0.16
CO,010102,St Johns,NL,47.56038,-52.7115,20140317,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.17,0.15,0.18,0.17,0.17,0.19,0.18,0.19,0.19,0.19,0.21,0.21,0.20,0.20,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20140318,0.18,0.19,0.17,0.17,0.17,0.18,0.20,0.21,0.18,0.18,0.18,0.17,0.19,0.18,0.19,0.21,0.21,0.19,0.20,0.19,0.18,0.19,0.19,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20140319,0.17,0.17,0.17,0.16,0.16,0.17,0.21,0.19,0.17,0.16,0.16,0.17,-999,0.17,0.19,0.21,0.20,0.19,0.24,0.26,0.24,0.23,0.22,0.21
CO,010102,St Johns,NL,47.56038,-52.7115,20140320,0.19,0.18,0.17,0.17,0.18,0.20,0.31,0.35,0.18,0.24,-999,0.20,0.24,0.29,0.25,0.42,0.30,0.21,0.20,0.20,0.19,0.19,0.17,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20140321,0.17,0.17,0.16,0.16,0.15,0.16,0.21,0.19,0.17,0.20,0.15,0.16,0.18,0.18,0.18,0.20,0.20,0.19,0.20,0.20,0.22,0.23,0.21,0.21
CO,010102,St Johns,NL,47.56038,-52.7115,20140322,0.21,0.21,0.21,0.20,0.20,0.20,0.21,0.22,0.22,0.22,0.20,0.18,0.20,0.20,0.19,0.18,0.19,0.18,0.19,0.19,0.18,0.18,0.17,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20140323,0.19,0.18,0.18,0.16,0.15,0.15,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16
CO,010102,St Johns,NL,47.56038,-52.7115,20140324,0.15,0.15,0.15,0.15,0.14,0.16,0.17,0.22,0.25,0.24,0.20,0.26,0.60,0.20,0.25,0.55,0.41,0.26,0.29,0.24,0.20,0.51,0.18,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20140325,0.19,0.17,0.17,0.17,0.17,0.19,0.19,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.21,0.22,0.20,0.21,0.20,0.19,0.19,0.19,0.19
CO,010102,St Johns,NL,47.56038,-52.7115,20140326,0.22,0.17,0.17,0.19,0.21,0.25,0.36,0.55,0.50,0.22,0.24,0.20,0.19,0.19,0.20,0.29,0.18,0.17,0.16,0.19,0.19,0.24,0.17,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20140327,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.16,0.16,0.16,0.16,0.17,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20140328,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.18,0.24,0.20,0.19,0.19,0.19,0.19,0.19,0.20,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,20140329,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.24,0.25,0.18,0.19,0.18,0.18,0.20,0.22,0.22,0.23,0.21,0.31,0.27,0.35,0.26
CO,010102,St Johns,NL,47.56038,-52.7115,20140330,0.23,0.22,0.18,0.23,0.16,0.16,0.17,0.16,0.20,0.18,0.20,0.20,0.21,0.21,0.26,0.25,-999,0.32,0.23,0.34,0.27,0.23,0.23,0.24
CO,010102,St Johns,NL,47.56038,-52.7115,20140331,0.18,0.18,0.20,0.16,0.17,0.19,0.20,0.19,0.22,0.22,0.22,0.23,0.23,0.23,0.27,0.27,0.24,0.25,0.23,0.22,0.22,0.26,0.20,0.19
CO,010102,St Johns,NL,47.56038,-52.7115,20140401,0.17,0.18,0.17,0.17,0.18,0.40,0.26,0.18,0.18,0.18,0.18,0.71,0.34,0.18,0.19,0.37,0.27,0.24,0.20,0.19,0.19,0.21,0.20,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20140402,0.19,0.25,0.16,0.16,0.17,0.62,0.39,0.20,0.20,0.24,0.23,0.25,0.27,0.23,0.21,0.33,0.26,0.44,1.28,0.23,0.21,0.26,0.26,0.27
CO,010102,St Johns,NL,47.56038,-52.7115,20140403,0.19,0.21,0.17,0.16,0.16,0.47,0.21,0.26,0.22,0.28,0.20,0.31,0.30,0.26,0.23,0.29,0.50,0.22,0.28,0.57,0.34,0.61,0.28,0.27
CO,010102,St Johns,NL,47.56038,-52.7115,20140404,0.27,0.18,0.24,0.24,0.17,0.18,0.18,0.19,0.17,0.17,0.19,0.32,0.30,0.42,0.36,0.41,0.38,0.33,0.39,0.32,0.45,0.73,0.54,0.54
CO,010102,St Johns,NL,47.56038,-52.7115,20140405,0.35,0.29,0.27,0.23,0.18,0.18,0.19,0.22,0.20,0.22,0.20,0.22,0.22,0.20,0.27,0.22,0.25,0.26,0.19,0.15,0.21,0.19,0.16,0.16
CO,010102,St Johns,NL,47.56038,-52.7115,20140406,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.15,0.15,0.15,0.15,0.16,0.17,0.17,0.17,0.18,0.20,0.19,0.18,0.19,0.18,0.18,0.16,0.16
CO,010102,St Johns,NL,47.56038,-52.7115,20140407,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.18,0.17,0.17,0.15,0.16,0.17,0.17,0.18,0.19,0.19,0.18,0.21,0.22,0.24,0.49,0.29,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,20140408,0.20,0.19,0.17,0.18,0.18,0.19,0.23,0.25,0.19,0.24,0.29,-999,0.24,0.20,0.18,0.20,0.19,0.18,0.20,0.18,0.18,0.20,0.16,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20140409,0.15,0.14,0.14,0.14,0.14,0.14,0.14,-999,0.14,0.14,0.13,0.15,0.15,0.15,0.16,0.17,0.16,0.20,0.19,0.16,0.17,0.21,0.18,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20140410,0.19,0.19,0.18,0.18,0.16,0.17,0.18,0.20,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.19,0.20,0.20,0.20,0.21,0.21,0.21,0.21,0.19
CO,010102,St Johns,NL,47.56038,-52.7115,20140411,0.18,0.18,0.18,0.17,0.17,0.18,0.20,0.21,0.18,0.18,0.19,0.16,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.16,0.17,0.16,0.15,0.16
CO,010102,St Johns,NL,47.56038,-52.7115,20140412,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.16,0.18,0.19,0.19,0.19,0.36,0.30,0.34,0.37,0.39,0.25,0.28,0.24,0.17,0.16,0.15,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20140413,0.14,0.14,0.15,0.14,0.14,0.15,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.16,0.17,0.17,0.17,0.29,0.24,0.21,0.20,0.24,0.17,0.28
CO,010102,St Johns,NL,47.56038,-52.7115,20140414,0.20,0.15,0.18,0.18,0.18,0.22,0.26,0.23,0.16,0.15,0.17,0.16,0.16,0.16,0.16,0.19,0.19,0.17,0.16,0.15,0.15,0.16,0.15,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20140415,0.14,0.14,0.14,0.14,0.14,0.16,0.16,0.17,0.15,0.16,0.15,0.18,0.18,0.18,0.19,0.20,0.19,0.17,0.17,0.19,0.18,0.18,0.17,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20140416,0.15,0.15,0.14,0.14,0.14,0.15,0.16,-999,0.18,0.15,0.15,0.15,0.15,0.15,0.15,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20140417,0.15,0.16,0.16,0.16,0.16,0.17,0.18,0.18,0.18,0.18,0.18,0.16,0.17,0.20,0.21,0.44,0.26,0.21,0.25,0.25,0.26,0.29,0.37,0.29
CO,010102,St Johns,NL,47.56038,-52.7115,20140418,0.27,0.29,0.37,0.24,0.19,0.21,0.22,0.18,0.18,0.19,0.20,0.17,0.18,0.21,0.17,0.17,0.16,0.17,0.18,0.17,0.17,0.17,0.17,0.19
CO,010102,St Johns,NL,47.56038,-52.7115,20140419,0.16,0.15,0.16,0.15,0.14,0.14,0.15,0.16,0.15,0.17,0.16,0.18,0.21,0.20,0.19,0.26,0.47,0.22,0.23,0.23,0.23,0.20,0.25,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20140420,0.18,0.19,0.16,0.15,0.13,0.14,0.15,0.14,0.15,0.15,0.15,0.16,0.17,0.19,0.19,0.31,0.21,0.19,0.18,0.18,0.26,0.19,0.19,0.18
