Pollutant:, CO
Units:, ppm
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
CO,010102,St Johns,NL,47.56038,-52.7115,20140101,0.25,0.39,0.23,0.51,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.17,0.17,0.17,0.18,0.17,0.19,0.18,0.17,0.18,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20140102,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.16,0.16,0.15,0.26,0.17,0.17,0.17,0.18,0.19,0.18,0.17,0.17,0.16,0.15,0.17,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20140103,0.15,0.15,0.15,0.17,0.15,0.15,0.15,0.15,0.24,0.20,0.26,0.31,0.41,0.34,0.24,0.21,0.23,0.18,0.17,0.22,0.18,0.18,0.16,0.25
CO,010102,St Johns,NL,47.56038,-52.7115,20140104,0.16,0.16,0.14,0.15,0.14,0.14,0.15,0.15,0.15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CO,010102,St Johns,NL,47.56038,-52.7115,20140105,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CO,010102,St Johns,NL,47.56038,-52.7115,20140106,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CO,010102,St Johns,NL,47.56038,-52.7115,20140107,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.14,0.13,0.14,0.16,0.19,0.19,0.20,0.19,0.19,0.20,0.19,0.20,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20140108,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.16,0.17,0.16,0.17,0.16,0.18,0.18,0.18,0.18,0.21,0.22,0.18,0.18,0.18,0.18,0.17,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20140109,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.21,0.24,0.23,0.19,0.19,0.18,0.18,0.18,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20140110,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.16,0.17,0.16,0.16,0.17,0.18,0.18,0.18,0.22,0.26,0.24,0.23,0.20,0.19,0.19,0.20,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20140111,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.18,0.18,0.18,0.19,0.19,0.19,0.20,0.20,0.21,0.22,0.22,0.21,0.21,0.20,0.20,0.26,0.19
CO,010102,St Johns,NL,47.56038,-52.7115,20140112,0.19,0.17,0.17,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11
CO,010102,St Johns,NL,47.56038,-52.7115,20140113,0.11,0.11,0.12,0.13,0.14,0.16,0.17,0.20,0.20,0.20,0.85,0.89,0.25,0.22,0.17,0.19,0.19,0.20,0.17,0.16,0.17,0.18,0.16,0.19
CO,010102,St Johns,NL,47.56038,-52.7115,20140114,0.16,0.15,0.16,0.15,0.15,0.15,0.17,0.25,0.50,0.30,0.24,0.18,0.17,0.17,0.17,0.17,0.22,0.25,0.22,0.20,0.19,0.19,0.20,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20140115,0.16,0.16,0.16,0.15,0.15,0.16,0.14,0.15,0.16,0.14,0.14,0.14,0.13,0.13,0.13,0.15,0.17,0.18,0.19,0.20,0.22,0.20,0.23,0.22
CO,010102,St Johns,NL,47.56038,-52.7115,20140116,0.26,0.34,0.31,0.36,0.20,0.16,0.14,0.17,0.30,0.30,0.33,0.34,0.50,0.55,0.62,0.37,0.50,0.67,0.51,0.60,0.30,0.29,0.28,0.23
CO,010102,St Johns,NL,47.56038,-52.7115,20140117,0.16,0.15,0.14,0.13,0.13,0.13,0.12,0.13,0.14,0.13,0.14,0.16,0.18,0.20,0.23,0.32,0.29,0.26,0.29,0.26,0.30,0.33,0.41,0.34
CO,010102,St Johns,NL,47.56038,-52.7115,20140118,0.31,0.30,0.41,0.28,0.28,0.19,0.19,0.19,0.19,0.20,0.36,0.19,0.21,0.66,0.32,0.30,0.29,0.28,0.30,0.31,0.30,0.37,0.32,0.32
CO,010102,St Johns,NL,47.56038,-52.7115,20140119,0.40,0.34,0.30,0.27,0.22,0.19,0.19,0.17,0.17,0.17,0.18,0.18,0.18,0.19,0.20,0.22,0.21,0.23,0.23,0.34,0.23,0.22,0.21,0.19
CO,010102,St Johns,NL,47.56038,-52.7115,20140120,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.20,0.21,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.22,0.23,0.21,0.22,0.22,0.22,0.32,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,20140121,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.19,0.21,0.20,0.20,0.20,0.19,0.19,0.19,0.20,0.22,0.21,0.18,0.17,0.17,0.19,0.18,0.18
