Pollutant:, CO
Units:, ppm
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
CO,010102,St Johns,NL,47.56038,-52.7115,20150101,0.15,0.15,0.14,0.15,0.14,0.16,0.15,0.14,0.19,0.19,0.15,0.14,0.15,0.13,0.14,0.14,0.14,0.14,0.19,0.24,0.26,0.25,0.17,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20150102,0.16,0.18,0.17,0.18,0.19,0.18,0.15,0.14,0.17,0.16,0.15,0.14,0.15,0.16,0.19,0.25,0.18,0.17,0.16,0.15,0.16,0.16,0.15,0.16
CO,010102,St Johns,NL,47.56038,-52.7115,20150103,0.15,0.16,0.17,0.18,0.16,0.20,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.17,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.14
CO,010102,St Johns,NL,47.56038,-52.7115,20150104,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.19,0.16,0.17,0.17,0.19,0.19,0.16,0.19,0.16,0.17,0.15,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20150105,0.13,0.12,0.12,0.12,0.12,0.12,0.23,0.15,0.17,0.19,0.20,0.17,0.12,0.10,0.11,0.12,0.13,0.15,0.17,0.17,0.17,0.17,0.16,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20150106,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.18,-999,0.17,0.19,0.20,0.17,0.18,0.20,0.20,0.20,0.18,0.17,0.16,0.18,0.23,0.17
CO,010102,St Johns,NL,47.56038,-52.7115,20150107,0.17,0.16,0.16,0.16,0.16,0.17,0.17,0.26,0.25,0.19,0.20,0.18,0.22,0.21,0.23,0.22,0.36,0.35,0.35,0.22,0.23,0.30,0.27,0.22
CO,010102,St Johns,NL,47.56038,-52.7115,20150108,0.34,0.19,0.20,0.18,0.14,0.14,0.15,0.16,0.25,0.24,0.22,0.20,0.21,0.27,0.25,0.23,0.31,0.36,0.25,0.24,0.27,0.33,0.23,0.16
CO,010102,St Johns,NL,47.56038,-52.7115,20150109,0.15,0.15,0.15,0.17,0.17,0.19,0.20,0.28,0.69,0.52,0.31,0.28,0.22,0.22,0.23,0.20,0.22,0.20,0.16,0.15,0.15,0.14,0.13,0.13
CO,010102,St Johns,NL,47.56038,-52.7115,20150110,0.13,0.13,0.14,0.13,0.13,0.12,0.12,0.13,0.14,0.16,0.16,0.16,0.17,0.18,0.21,0.20,0.21,0.27,0.31,0.25,0.19,0.18,0.19,0.15
