*DESCRIPTION
*MEANS REPORT
************DESCRIPTION************
"File generated on","2022-03-25"
"",""
"NAPS Means Datafile",""
"",""
"Units:",""
"SO2 NO2 O3 NO and NOx are ppb",""
"CO is ppm",""
"PM10 and PM2.5 are in ug/m3",""
"",""
"Reporting criteria:",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
************MEANS REPORT************
"NAPS ID","City","Location","Latitude","Longitude","Elevation","LandUse","Pollutant","January","February","March","April","May","June","July","August","September","October","November","December","Average","StdDeviation","%Complete"
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","NOX","","","1","1","1","1","1","1","0","1","1","1","","","82"
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","O3","27","28","39","38","32","26","19","20","20","25","29","34","28","9","91"
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","PM2.5","9","9","8","4","3","3","3","5","3","4","5","5","5","4","89"
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","SO2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0.1","0.1","0.1","0.1","0.1","96"
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","NO","2","1","1","1","1","1","1","1","1","1","1","1","1","2","98"
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","NO2","4","3","4","2","1","2","2","2","1","2","4","4","3","4","98"
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","NOX","6","4","5","2","1","2","2","3","2","3","5","5","3","6","98"
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","O3","34","32","","43","37","30","23","21","22","26","31","36","30","10","91"
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","PM2.5","4","2","2","1","1","1","4","4","2","2","3","3","2","3","96"
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","SO2","0.4","0.5","1.7","0.5","0.2","0.6","0.3","0.3","0.3","0.9","0.9","0.6","0.6","2.1","98"
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","NO","1","0","0","0","0","0","0","0","1","0","1","0","0","1","99"
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","NO2","3","3","2","2","1","1","1","1","2","1","3","3","2","3","99"
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","NOX","3","3","3","2","2","2","1","1","2","2","3","3","2","4","99"
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","O3","36","","37","36","32","26","23","24","21","23","25","27","28","9","93"
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","PM2.5","","","","","","","","","","6","8","10","","","27"
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","SO2","0.6","0.3","0.3","0.2","0.2","0.1","0.1","0.1","0","0.1","","0.3","0.2","0.5","93"
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","NO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98"
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","NO2","1","1","0","0","0","0","1","1","0","0","1","1","1","1","98"
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","NOX","1","1","1","1","1","0","1","1","1","0","1","1","1","1","98"
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","O3","34","36","41","38","32","26","21","20","19","22","27","31","29","10","96"
